"GEOID","percent","children5_17","race_ethnicity"
6001,0.275,69705,"asian"
6001,0.088,22306,"black"
6001,0.34,86181,"latino"
6001,0.133,30670,"other"
6001,0.164,41570,"white"
6005,0.004,19,"asian"
6005,0.004,19,"black"
6005,0.231,1083,"latino"
6005,0.105,455,"other"
6005,0.656,3077,"white"
6007,0.06,1966,"asian"
6007,0.02,655,"black"
6007,0.257,8423,"latino"
6007,0.109,3048,"other"
6007,0.554,18157,"white"
6009,0.006,35,"asian"
6009,0.007,41,"black"
6009,0.22,1284,"latino"
6009,0.0879999999999999,485,"other"
6009,0.679,3964,"white"
6011,0.011,49,"asian"
6011,0.008,36,"black"
6011,0.8,3572,"latino"
6011,0.025,103,"other"
6011,0.156,697,"white"
6013,0.134,26455,"asian"
6013,0.084,16584,"black"
6013,0.372,73441,"latino"
6013,0.134,23493,"other"
6013,0.276,54489,"white"
6015,0.042,181,"asian"
6015,0.007,30,"black"
6015,0.224,967,"latino"
6015,0.224,971,"other"
6015,0.503,2171,"white"
6017,0.041,1151,"asian"
6017,0.01,281,"black"
6017,0.203,5698,"latino"
6017,0.0859999999999999,2190,"other"
6017,0.66,18527,"white"
6019,0.095,19973,"asian"
6019,0.047,9881,"black"
6019,0.658,138339,"latino"
6019,0.0410000000000001,7989,"other"
6019,0.159,33428,"white"
6021,0.021,122,"asian"
6021,0.005,29,"black"
6021,0.555,3225,"latino"
6021,0.051,244,"other"
6021,0.368,2138,"white"
6023,0.033,630,"asian"
6023,0.011,210,"black"
6023,0.193,3686,"latino"
6023,0.218,3954,"other"
6023,0.545,10410,"white"
6025,0.004,152,"asian"
6025,0.007,266,"black"
6025,0.931,35420,"latino"
6025,0.0170000000000001,571,"other"
6025,0.041,1560,"white"
6027,0.007,23,"asian"
6027,0.063,207,"black"
6027,0.542,1781,"latino"
6027,0.169,516,"other"
6027,0.219,720,"white"
6029,0.025,4843,"asian"
6029,0.053,10266,"black"
6029,0.662,128233,"latino"
6029,0.046,7748,"other"
6029,0.214,41453,"white"
6031,0.01,296,"asian"
6031,0.033,976,"black"
6031,0.713,21096,"latino"
6031,0.063,1805,"other"
6031,0.181,5355,"white"
6033,0.006,60,"asian"
6033,0.014,141,"black"
6033,0.402,4050,"latino"
6033,0.116,1088,"other"
6033,0.462,4655,"white"
6035,0.008,31,"asian"
6035,0.011,43,"black"
6035,0.197,775,"latino"
6035,0.129,484,"other"
6035,0.655,2578,"white"
6037,0.079,127142,"asian"
6037,0.071,114267,"black"
6037,0.657,1057371,"latino"
6037,0.059,86907,"other"
6037,0.134,215659,"white"
6039,0.015,461,"asian"
6039,0.012,369,"black"
6039,0.756,23222,"latino"
6039,0.0350000000000001,891,"other"
6039,0.182,5590,"white"
6041,0.046,1825,"asian"
6041,0.017,674,"black"
6041,0.325,12895,"latino"
6041,0.084,2976,"other"
6041,0.528,20949,"white"
6043,0.009,18,"asian"
6043,0.004,8,"black"
6043,0.218,447,"latino"
6043,0.128,230,"other"
6043,0.641,1315,"white"
6045,0.008,113,"asian"
6045,0.006,85,"black"
6045,0.459,6512,"latino"
6045,0.141,1575,"other"
6045,0.386,5476,"white"
6047,0.053,3267,"asian"
6047,0.026,1603,"black"
6047,0.75,46227,"latino"
6047,0.033,1664,"other"
6047,0.138,8506,"white"
6049,0.005,7,"asian"
6049,0.009,12,"black"
6049,0.367,507,"latino"
6049,0.11,129,"other"
6049,0.509,703,"white"
6051,0.009,17,"asian"
6051,0.01,19,"black"
6051,0.585,1114,"latino"
6051,0.036,61,"other"
6051,0.36,685,"white"
6053,0.016,1355,"asian"
6053,0.012,1016,"black"
6053,0.816,69099,"latino"
6053,0.044,3133,"other"
6053,0.112,9484,"white"
6055,0.022,499,"asian"
6055,0.019,431,"black"
6055,0.577,13079,"latino"
6055,0.105,2357,"other"
6055,0.277,6279,"white"
6057,0.01,136,"asian"
6057,0.012,163,"black"
6057,0.216,2932,"latino"
6057,0.11,991,"other"
6057,0.652,8851,"white"
6059,0.174,89785,"asian"
6059,0.013,6708,"black"
6059,0.495,255423,"latino"
6059,0.078,36636,"other"
6059,0.24,123841,"white"
6061,0.068,4596,"asian"
6061,0.021,1419,"black"
6061,0.213,14398,"latino"
6061,0.122,7233,"other"
6061,0.576,38934,"white"
6063,0.005,13,"asian"
6063,0.01,25,"black"
6063,0.171,433,"latino"
6063,0.136,296,"other"
6063,0.678,1716,"white"
6065,0.033,14847,"asian"
6065,0.059,26545,"black"
6065,0.652,293345,"latino"
6065,0.067,27445,"other"
6065,0.189,85034,"white"
6067,0.161,44183,"asian"
6067,0.108,29639,"black"
6067,0.326,89465,"latino"
6067,0.128,33755,"other"
6067,0.277,76017,"white"
6069,0.013,154,"asian"
6069,0.005,59,"black"
6069,0.766,9099,"latino"
6069,0.0470000000000001,273,"other"
6069,0.169,2008,"white"
6071,0.04,16822,"asian"
6071,0.08,33643,"black"
6071,0.668,280921,"latino"
6071,0.0520000000000001,19345,"other"
6071,0.16,67286,"white"
6073,0.064,33107,"asian"
6073,0.042,21727,"black"
6073,0.485,250890,"latino"
6073,0.118,56385,"other"
6073,0.291,150534,"white"
6075,0.295,24467,"asian"
6075,0.076,6303,"black"
6075,0.319,26458,"latino"
6075,0.164,9372,"other"
6075,0.146,12109,"white"
6077,0.123,19225,"asian"
6077,0.074,11566,"black"
6077,0.536,83776,"latino"
6077,0.102,14692,"other"
6077,0.165,25789,"white"
6079,0.015,559,"asian"
6079,0.008,298,"black"
6079,0.419,15608,"latino"
6079,0.067,2160,"other"
6079,0.491,18290,"white"
6081,0.167,19213,"asian"
6081,0.013,1496,"black"
6081,0.38,43717,"latino"
6081,0.185,20018,"other"
6081,0.255,29336,"white"
6083,0.015,1089,"asian"
6083,0.008,581,"black"
6083,0.712,51680,"latino"
6083,0.0509999999999999,3049,"other"
6083,0.214,15533,"white"
6085,0.31,97916,"asian"
6085,0.018,5685,"black"
6085,0.384,121289,"latino"
6085,0.11,31902,"other"
6085,0.178,56223,"white"
6087,0.023,910,"asian"
6087,0.007,277,"black"
6087,0.573,22660,"latino"
6087,0.062,1898,"other"
6087,0.335,13248,"white"
6089,0.035,1019,"asian"
6089,0.012,349,"black"
6089,0.165,4805,"latino"
6089,0.13,3262,"other"
6089,0.658,19162,"white"
6091,0.01,3,"asian"
6091,0.008,3,"black"
6091,0.17,57,"latino"
6091,0.0679999999999999,13,"other"
6091,0.744,248,"white"
6093,0.027,190,"asian"
6093,0.012,85,"black"
6093,0.175,1233,"latino"
6093,0.201,1177,"other"
6093,0.585,4122,"white"
6095,0.04,2915,"asian"
6095,0.134,9766,"black"
6095,0.411,29955,"latino"
6095,0.188,13119,"other"
6095,0.227,16544,"white"
6097,0.031,2290,"asian"
6097,0.016,1182,"black"
6097,0.472,34866,"latino"
6097,0.0749999999999999,4949,"other"
6097,0.406,29990,"white"
6099,0.043,4745,"asian"
6099,0.024,2648,"black"
6099,0.623,68741,"latino"
6099,0.068,5407,"other"
6099,0.242,26702,"white"
6101,0.13,2497,"asian"
6101,0.025,480,"black"
6101,0.382,7338,"latino"
6101,0.086,1345,"other"
6101,0.377,7242,"white"
6103,0.011,129,"asian"
6103,0.008,94,"black"
6103,0.431,5043,"latino"
6103,0.059,632,"other"
6103,0.491,5745,"white"
6105,0.061,104,"asian"
6105,0.002,3,"black"
6105,0.106,182,"latino"
6105,0.153,236,"other"
6105,0.678,1161,"white"
6107,0.02,2151,"asian"
6107,0.01,1075,"black"
6107,0.782,84092,"latino"
6107,0.043,3226,"other"
6107,0.145,15592,"white"
6109,0.008,54,"asian"
6109,0.006,41,"black"
6109,0.182,1239,"latino"
6109,0.098,572,"other"
6109,0.706,4804,"white"
6111,0.044,6437,"asian"
6111,0.012,1755,"black"
6111,0.61,89237,"latino"
6111,0.058,8485,"other"
6111,0.276,40376,"white"
6113,0.1,3378,"asian"
6113,0.029,980,"black"
6113,0.477,16114,"latino"
6113,0.0749999999999999,2230,"other"
6113,0.319,10776,"white"
6115,0.069,1103,"asian"
6115,0.035,559,"black"
6115,0.398,6361,"latino"
6115,0.105,1454,"other"
6115,0.393,6281,"white"
