"","GEOID","demographic","children_5_17","percent_final"
"1","06001","Asian",69705,0.275
"2","06001","Black",22306,0.088
"3","06001","Latino",86181,0.34
"4","06001","Other",30670,0.133
"5","06001","White",41570,0.164
"6","06005","Asian",19,0.004
"7","06005","Black",19,0.004
"8","06005","Latino",1083,0.231
"9","06005","Other",455,0.105
"10","06005","White",3077,0.656
"11","06007","Asian",1966,0.06
"12","06007","Black",655,0.02
"13","06007","Latino",8423,0.257
"14","06007","Other",3048,0.109
"15","06007","White",18157,0.554
"16","06009","Asian",35,0.006
"17","06009","Black",41,0.007
"18","06009","Latino",1284,0.22
"19","06009","Other",485,0.0879999999999999
"20","06009","White",3964,0.679
"21","06011","Asian",49,0.011
"22","06011","Black",36,0.008
"23","06011","Latino",3572,0.8
"24","06011","Other",103,0.025
"25","06011","White",697,0.156
"26","06013","Asian",26455,0.134
"27","06013","Black",16584,0.084
"28","06013","Latino",73441,0.372
"29","06013","Other",23493,0.134
"30","06013","White",54489,0.276
"31","06015","Asian",181,0.042
"32","06015","Black",30,0.007
"33","06015","Latino",967,0.224
"34","06015","Other",971,0.224
"35","06015","White",2171,0.503
"36","06017","Asian",1151,0.041
"37","06017","Black",281,0.01
"38","06017","Latino",5698,0.203
"39","06017","Other",2190,0.0859999999999999
"40","06017","White",18527,0.66
"41","06019","Asian",19973,0.095
"42","06019","Black",9881,0.047
"43","06019","Latino",138339,0.658
"44","06019","Other",7989,0.0410000000000001
"45","06019","White",33428,0.159
"46","06021","Asian",122,0.021
"47","06021","Black",29,0.005
"48","06021","Latino",3225,0.555
"49","06021","Other",244,0.051
"50","06021","White",2138,0.368
"51","06023","Asian",630,0.033
"52","06023","Black",210,0.011
"53","06023","Latino",3686,0.193
"54","06023","Other",3954,0.218
"55","06023","White",10410,0.545
"56","06025","Asian",152,0.004
"57","06025","Black",266,0.007
"58","06025","Latino",35420,0.931
"59","06025","Other",571,0.0170000000000001
"60","06025","White",1560,0.041
"61","06027","Asian",23,0.007
"62","06027","Black",207,0.063
"63","06027","Latino",1781,0.542
"64","06027","Other",516,0.169
"65","06027","White",720,0.219
"66","06029","Asian",4843,0.025
"67","06029","Black",10266,0.053
"68","06029","Latino",128233,0.662
"69","06029","Other",7748,0.046
"70","06029","White",41453,0.214
"71","06031","Asian",296,0.01
"72","06031","Black",976,0.033
"73","06031","Latino",21096,0.713
"74","06031","Other",1805,0.063
"75","06031","White",5355,0.181
"76","06033","Asian",60,0.006
"77","06033","Black",141,0.014
"78","06033","Latino",4050,0.402
"79","06033","Other",1088,0.116
"80","06033","White",4655,0.462
"81","06035","Asian",31,0.008
"82","06035","Black",43,0.011
"83","06035","Latino",775,0.197
"84","06035","Other",484,0.129
"85","06035","White",2578,0.655
"86","06037","Asian",127142,0.079
"87","06037","Black",114267,0.071
"88","06037","Latino",1057371,0.657
"89","06037","Other",86907,0.059
"90","06037","White",215659,0.134
"91","06039","Asian",461,0.015
"92","06039","Black",369,0.012
"93","06039","Latino",23222,0.756
"94","06039","Other",891,0.0350000000000001
"95","06039","White",5590,0.182
"96","06041","Asian",1825,0.046
"97","06041","Black",674,0.017
"98","06041","Latino",12895,0.325
"99","06041","Other",2976,0.084
"100","06041","White",20949,0.528
"101","06043","Asian",18,0.009
"102","06043","Black",8,0.004
"103","06043","Latino",447,0.218
"104","06043","Other",230,0.128
"105","06043","White",1315,0.641
"106","06045","Asian",113,0.008
"107","06045","Black",85,0.006
"108","06045","Latino",6512,0.459
"109","06045","Other",1575,0.141
"110","06045","White",5476,0.386
"111","06047","Asian",3267,0.053
"112","06047","Black",1603,0.026
"113","06047","Latino",46227,0.75
"114","06047","Other",1664,0.033
"115","06047","White",8506,0.138
"116","06049","Asian",7,0.005
"117","06049","Black",12,0.009
"118","06049","Latino",507,0.367
"119","06049","Other",129,0.11
"120","06049","White",703,0.509
"121","06051","Asian",17,0.009
"122","06051","Black",19,0.01
"123","06051","Latino",1114,0.585
"124","06051","Other",61,0.036
"125","06051","White",685,0.36
"126","06053","Asian",1355,0.016
"127","06053","Black",1016,0.012
"128","06053","Latino",69099,0.816
"129","06053","Other",3133,0.044
"130","06053","White",9484,0.112
"131","06055","Asian",499,0.022
"132","06055","Black",431,0.019
"133","06055","Latino",13079,0.577
"134","06055","Other",2357,0.105
"135","06055","White",6279,0.277
"136","06057","Asian",136,0.01
"137","06057","Black",163,0.012
"138","06057","Latino",2932,0.216
"139","06057","Other",991,0.11
"140","06057","White",8851,0.652
"141","06059","Asian",89785,0.174
"142","06059","Black",6708,0.013
"143","06059","Latino",255423,0.495
"144","06059","Other",36636,0.078
"145","06059","White",123841,0.24
"146","06061","Asian",4596,0.068
"147","06061","Black",1419,0.021
"148","06061","Latino",14398,0.213
"149","06061","Other",7233,0.122
"150","06061","White",38934,0.576
"151","06063","Asian",13,0.005
"152","06063","Black",25,0.01
"153","06063","Latino",433,0.171
"154","06063","Other",296,0.136
"155","06063","White",1716,0.678
"156","06065","Asian",14847,0.033
"157","06065","Black",26545,0.059
"158","06065","Latino",293345,0.652
"159","06065","Other",27445,0.067
"160","06065","White",85034,0.189
"161","06067","Asian",44183,0.161
"162","06067","Black",29639,0.108
"163","06067","Latino",89465,0.326
"164","06067","Other",33755,0.128
"165","06067","White",76017,0.277
"166","06069","Asian",154,0.013
"167","06069","Black",59,0.005
"168","06069","Latino",9099,0.766
"169","06069","Other",273,0.0470000000000001
"170","06069","White",2008,0.169
"171","06071","Asian",16822,0.04
"172","06071","Black",33643,0.08
"173","06071","Latino",280921,0.668
"174","06071","Other",19345,0.0520000000000001
"175","06071","White",67286,0.16
"176","06073","Asian",33107,0.064
"177","06073","Black",21727,0.042
"178","06073","Latino",250890,0.485
"179","06073","Other",56385,0.118
"180","06073","White",150534,0.291
"181","06075","Asian",24467,0.295
"182","06075","Black",6303,0.076
"183","06075","Latino",26458,0.319
"184","06075","Other",9372,0.164
"185","06075","White",12109,0.146
"186","06077","Asian",19225,0.123
"187","06077","Black",11566,0.074
"188","06077","Latino",83776,0.536
"189","06077","Other",14692,0.102
"190","06077","White",25789,0.165
"191","06079","Asian",559,0.015
"192","06079","Black",298,0.008
"193","06079","Latino",15608,0.419
"194","06079","Other",2160,0.067
"195","06079","White",18290,0.491
"196","06081","Asian",19213,0.167
"197","06081","Black",1496,0.013
"198","06081","Latino",43717,0.38
"199","06081","Other",20018,0.185
"200","06081","White",29336,0.255
"201","06083","Asian",1089,0.015
"202","06083","Black",581,0.008
"203","06083","Latino",51680,0.712
"204","06083","Other",3049,0.0509999999999999
"205","06083","White",15533,0.214
"206","06085","Asian",97916,0.31
"207","06085","Black",5685,0.018
"208","06085","Latino",121289,0.384
"209","06085","Other",31902,0.11
"210","06085","White",56223,0.178
"211","06087","Asian",910,0.023
"212","06087","Black",277,0.007
"213","06087","Latino",22660,0.573
"214","06087","Other",1898,0.062
"215","06087","White",13248,0.335
"216","06089","Asian",1019,0.035
"217","06089","Black",349,0.012
"218","06089","Latino",4805,0.165
"219","06089","Other",3262,0.13
"220","06089","White",19162,0.658
"221","06091","Asian",3,0.01
"222","06091","Black",3,0.008
"223","06091","Latino",57,0.17
"224","06091","Other",13,0.0679999999999999
"225","06091","White",248,0.744
"226","06093","Asian",190,0.027
"227","06093","Black",85,0.012
"228","06093","Latino",1233,0.175
"229","06093","Other",1177,0.201
"230","06093","White",4122,0.585
"231","06095","Asian",2915,0.04
"232","06095","Black",9766,0.134
"233","06095","Latino",29955,0.411
"234","06095","Other",13119,0.188
"235","06095","White",16544,0.227
"236","06097","Asian",2290,0.031
"237","06097","Black",1182,0.016
"238","06097","Latino",34866,0.472
"239","06097","Other",4949,0.0749999999999999
"240","06097","White",29990,0.406
"241","06099","Asian",4745,0.043
"242","06099","Black",2648,0.024
"243","06099","Latino",68741,0.623
"244","06099","Other",5407,0.068
"245","06099","White",26702,0.242
"246","06101","Asian",2497,0.13
"247","06101","Black",480,0.025
"248","06101","Latino",7338,0.382
"249","06101","Other",1345,0.086
"250","06101","White",7242,0.377
"251","06103","Asian",129,0.011
"252","06103","Black",94,0.008
"253","06103","Latino",5043,0.431
"254","06103","Other",632,0.059
"255","06103","White",5745,0.491
"256","06105","Asian",104,0.061
"257","06105","Black",3,0.002
"258","06105","Latino",182,0.106
"259","06105","Other",236,0.153
"260","06105","White",1161,0.678
"261","06107","Asian",2151,0.02
"262","06107","Black",1075,0.01
"263","06107","Latino",84092,0.782
"264","06107","Other",3226,0.043
"265","06107","White",15592,0.145
"266","06109","Asian",54,0.008
"267","06109","Black",41,0.006
"268","06109","Latino",1239,0.182
"269","06109","Other",572,0.098
"270","06109","White",4804,0.706
"271","06111","Asian",6437,0.044
"272","06111","Black",1755,0.012
"273","06111","Latino",89237,0.61
"274","06111","Other",8485,0.058
"275","06111","White",40376,0.276
"276","06113","Asian",3378,0.1
"277","06113","Black",980,0.029
"278","06113","Latino",16114,0.477
"279","06113","Other",2230,0.0749999999999999
"280","06113","White",10776,0.319
"281","06115","Asian",1103,0.069
"282","06115","Black",559,0.035
"283","06115","Latino",6361,0.398
"284","06115","Other",1454,0.105
"285","06115","White",6281,0.393
