"","School_District","demographic","children_5_17","percent_final","type"
"400","Gates County Schools","Other",119,0.0720775287704422,"public"
"401","Girls Leadership Academy of Wilmington","Black",102,0.51,"charter"
"402","Girls Leadership Academy of Wilmington","White",64,0.32,"charter"
"403","Girls Leadership Academy of Wilmington","Asian",1,0.005,"charter"
"404","Girls Leadership Academy of Wilmington","Other",33,0.165,"charter"
"405","Global Scholars Academy","Black",125,0.58411214953271,"charter"
"406","Global Scholars Academy","White",0,0,"charter"
"407","Global Scholars Academy","Asian",0,0,"charter"
"408","Global Scholars Academy","Other",89,0.41588785046729,"charter"
"409","Graham County Schools","Black",3,0.0026246719160105,"public"
"410","Graham County Schools","White",888,0.776902887139108,"public"
"411","Graham County Schools","Asian",5,0.00437445319335083,"public"
"412","Graham County Schools","Other",247,0.216097987751531,"public"
"413","Grandfather Academy","Black",1,0.0454545454545455,"charter"
"414","Grandfather Academy","White",16,0.727272727272727,"charter"
"415","Grandfather Academy","Asian",0,0,"charter"
"416","Grandfather Academy","Other",5,0.227272727272727,"charter"
"417","Granville County Schools","Black",2574,0.343474779823859,"public"
"418","Granville County Schools","White",3230,0.431011475847345,"public"
"419","Granville County Schools","Asian",47,0.00627168401387777,"public"
"420","Granville County Schools","Other",1643,0.219242060314919,"public"
"421","Gray Stone Day School","Black",21,0.0251196172248804,"charter"
"422","Gray Stone Day School","White",719,0.860047846889952,"charter"
"423","Gray Stone Day School","Asian",37,0.0442583732057416,"charter"
"424","Gray Stone Day School","Other",59,0.0705741626794258,"charter"
"425","Greene County Schools","Black",1118,0.364525595044017,"public"
"426","Greene County Schools","White",926,0.301923703945223,"public"
"427","Greene County Schools","Asian",5,0.00163025758069775,"public"
"428","Greene County Schools","Other",1018,0.331920443430062,"public"
"429","Greensboro Academy","Black",77,0.101851851851852,"charter"
"430","Greensboro Academy","White",533,0.705026455026455,"charter"
"431","Greensboro Academy","Asian",91,0.12037037037037,"charter"
"432","Greensboro Academy","Other",55,0.0727513227513227,"charter"
"433","Guilford County Schools","Black",29128,0.40612364407016,"public"
"434","Guilford County Schools","White",23321,0.325158249909372,"public"
"435","Guilford County Schools","Asian",4615,0.0643456679958729,"public"
"436","Guilford County Schools","Other",14658,0.204372438024595,"public"
"437","Guilford Preparatory Academy","Black",229,0.901574803149606,"charter"
"438","Guilford Preparatory Academy","White",4,0.015748031496063,"charter"
"439","Guilford Preparatory Academy","Asian",0,0,"charter"
"440","Guilford Preparatory Academy","Other",21,0.0826771653543307,"charter"
"441","Halifax County Schools","Black",2064,0.831252517116391,"public"
"442","Halifax County Schools","White",99,0.0398711236407572,"public"
"443","Halifax County Schools","Asian",4,0.00161095449053564,"public"
"444","Halifax County Schools","Other",316,0.127265404752316,"public"
"445","Haliwa-Saponi Tribal School","Black",17,0.126865671641791,"charter"
"446","Haliwa-Saponi Tribal School","White",9,0.0671641791044776,"charter"
"447","Haliwa-Saponi Tribal School","Asian",0,0,"charter"
"448","Haliwa-Saponi Tribal School","Other",108,0.805970149253731,"charter"
"449","Harnett County Schools","Black",5025,0.244942724835486,"public"
"450","Harnett County Schools","White",9610,0.468437728491348,"public"
"451","Harnett County Schools","Asian",140,0.00682427492078967,"public"
"452","Harnett County Schools","Other",5740,0.279795271752376,"public"
"453","Haywood County Schools","Black",92,0.0127848804891606,"public"
"454","Haywood County Schools","White",6218,0.864091161756531,"public"
"455","Haywood County Schools","Asian",52,0.00722623679822123,"public"
"456","Haywood County Schools","Other",834,0.115897720956087,"public"
"457","Healthy Start Academy","Black",295,0.793010752688172,"charter"
"458","Healthy Start Academy","White",5,0.0134408602150538,"charter"
"459","Healthy Start Academy","Asian",0,0,"charter"
"460","Healthy Start Academy","Other",72,0.193548387096774,"charter"
"461","Henderson Collegiate","Black",699,0.694141012909633,"charter"
"462","Henderson Collegiate","White",52,0.0516385302879841,"charter"
"463","Henderson Collegiate","Asian",13,0.012909632571996,"charter"
"464","Henderson Collegiate","Other",243,0.241310824230387,"charter"
"465","Henderson County Schools","Black",547,0.0404585798816568,"public"
"466","Henderson County Schools","White",8845,0.654215976331361,"public"
"467","Henderson County Schools","Asian",190,0.0140532544378698,"public"
"468","Henderson County Schools","Other",3938,0.291272189349112,"public"
"469","Heritage Collegiate Leadership Academy","Black",154,0.83695652173913,"charter"
"470","Heritage Collegiate Leadership Academy","White",20,0.108695652173913,"charter"
"471","Heritage Collegiate Leadership Academy","Asian",0,0,"charter"
"472","Heritage Collegiate Leadership Academy","Other",10,0.0543478260869565,"charter"
"473","Hertford County Schools","Black",2190,0.781305743845879,"public"
"474","Hertford County Schools","White",385,0.137352836246878,"public"
"475","Hertford County Schools","Asian",30,0.0107028184088477,"public"
"476","Hertford County Schools","Other",198,0.0706386014983946,"public"
"477","Hickory City Schools","Black",872,0.20971620971621,"public"
"478","Hickory City Schools","White",1721,0.413900913900914,"public"
"479","Hickory City Schools","Asian",175,0.0420875420875421,"public"
"480","Hickory City Schools","Other",1390,0.334295334295334,"public"
"481","Hoke County Schools","Black",3013,0.346600713217531,"public"
"482","Hoke County Schools","White",2262,0.260209363855976,"public"
"483","Hoke County Schools","Asian",80,0.00920280685609111,"public"
"484","Hoke County Schools","Other",3338,0.383987116070401,"public"
"485","Hope Charter Leadership Academy","Black",116,0.950819672131147,"charter"
"486","Hope Charter Leadership Academy","White",0,0,"charter"
"487","Hope Charter Leadership Academy","Asian",1,0.00819672131147541,"charter"
"488","Hope Charter Leadership Academy","Other",5,0.040983606557377,"charter"
"489","Hyde County Schools","Black",124,0.212328767123288,"public"
"490","Hyde County Schools","White",325,0.556506849315068,"public"
"491","Hyde County Schools","Asian",0,0,"public"
"492","Hyde County Schools","Other",135,0.231164383561644,"public"
"493","Ignite Innovation Academy Pitt","Black",151,0.583011583011583,"charter"
"494","Ignite Innovation Academy Pitt","White",68,0.262548262548263,"charter"
"495","Ignite Innovation Academy Pitt","Asian",0,0,"charter"
"496","Ignite Innovation Academy Pitt","Other",40,0.154440154440154,"charter"
"497","Invest Collegiate","Black",442,0.864970645792564,"charter"
"498","Invest Collegiate","White",21,0.0410958904109589,"charter"
"499","Invest Collegiate","Asian",0,0,"charter"
"500","Invest Collegiate","Other",48,0.0939334637964775,"charter"
"501","Invest Collegiate - Imagine","Black",22,0.0253164556962025,"charter"
"502","Invest Collegiate - Imagine","White",733,0.843498273878021,"charter"
"503","Invest Collegiate - Imagine","Asian",19,0.0218642117376295,"charter"
"504","Invest Collegiate - Imagine","Other",95,0.109321058688147,"charter"
"505","Iredell Charter Academy","Black",54,0.104854368932039,"charter"
"506","Iredell Charter Academy","White",379,0.735922330097087,"charter"
"507","Iredell Charter Academy","Asian",3,0.0058252427184466,"charter"
"508","Iredell Charter Academy","Other",79,0.153398058252427,"charter"
"509","Iredell-Statesville Schools","Black",2911,0.142444705421805,"public"
"510","Iredell-Statesville Schools","White",13440,0.657662947739284,"public"
"511","Iredell-Statesville Schools","Asian",557,0.0272558230573498,"public"
"512","Iredell-Statesville Schools","Other",3528,0.172636523781562,"public"
"513","Island Montessori Charter","Black",0,0,"charter"
"514","Island Montessori Charter","White",185,0.902439024390244,"charter"
"515","Island Montessori Charter","Asian",4,0.0195121951219512,"charter"
"516","Island Montessori Charter","Other",16,0.0780487804878049,"charter"
"517","Jackson County Schools","Black",50,0.0135354629128316,"public"
"518","Jackson County Schools","White",2650,0.717379534380076,"public"
"519","Jackson County Schools","Asian",56,0.0151597184623714,"public"
"520","Jackson County Schools","Other",938,0.253925284244721,"public"
"521","Johnston County Schools","Black",5824,0.161854208931996,"public"
"522","Johnston County Schools","White",19975,0.555123252647083,"public"
"523","Johnston County Schools","Asian",286,0.00794819776005336,"public"
"524","Johnston County Schools","Other",9898,0.275074340660868,"public"
"525","Jones County Schools","Black",397,0.368274582560297,"public"
"526","Jones County Schools","White",527,0.48886827458256,"public"
"527","Jones County Schools","Asian",1,0.000927643784786642,"public"
"528","Jones County Schools","Other",153,0.141929499072356,"public"
"529","KIPP Durham College Preparatory","Black",127,0.481060606060606,"charter"
"530","KIPP Durham College Preparatory","White",0,0,"charter"
"531","KIPP Durham College Preparatory","Asian",1,0.00378787878787879,"charter"
"532","KIPP Durham College Preparatory","Other",136,0.515151515151515,"charter"
"533","KIPP Halifax College Preparatory","Black",360,0.857142857142857,"charter"
"534","KIPP Halifax College Preparatory","White",24,0.0571428571428571,"charter"
"535","KIPP Halifax College Preparatory","Asian",3,0.00714285714285714,"charter"
"536","KIPP Halifax College Preparatory","Other",33,0.0785714285714286,"charter"
"537","KIPP: Charlotte","Black",639,0.883817427385892,"charter"
"538","KIPP: Charlotte","White",4,0.00553250345781466,"charter"
"539","KIPP: Charlotte","Asian",3,0.004149377593361,"charter"
"540","KIPP: Charlotte","Other",77,0.106500691562932,"charter"
"541","Kannapolis Charter Academy","Black",180,0.345489443378119,"charter"
"542","Kannapolis Charter Academy","White",214,0.410748560460653,"charter"
"543","Kannapolis Charter Academy","Asian",7,0.0134357005758157,"charter"
"544","Kannapolis Charter Academy","Other",120,0.230326295585413,"charter"
"545","Kannapolis City Schools","Black",1513,0.28338640194793,"public"
"546","Kannapolis City Schools","White",1755,0.328713242180184,"public"
"547","Kannapolis City Schools","Asian",66,0.0123618655178872,"public"
"548","Kannapolis City Schools","Other",2005,0.375538490353999,"public"
"549","Kestrel Heights School","Black",290,0.51056338028169,"charter"
"550","Kestrel Heights School","White",123,0.216549295774648,"charter"
"551","Kestrel Heights School","Asian",20,0.0352112676056338,"charter"
"552","Kestrel Heights School","Other",135,0.237676056338028,"charter"
"553","Lake Lure Classical Academy","Black",9,0.01931330472103,"charter"
"554","Lake Lure Classical Academy","White",396,0.849785407725322,"charter"
"555","Lake Lure Classical Academy","Asian",8,0.0171673819742489,"charter"
"556","Lake Lure Classical Academy","Other",53,0.113733905579399,"charter"
"557","Lake Norman Charter","Black",251,0.13162034609334,"charter"
"558","Lake Norman Charter","White",1333,0.699003670686943,"charter"
"559","Lake Norman Charter","Asian",125,0.0655479811221814,"charter"
"560","Lake Norman Charter","Other",198,0.103828002097535,"charter"
"561","Langtree Charter Academy","Black",80,0.0496585971446307,"charter"
"562","Langtree Charter Academy","White",1145,0.710738671632526,"charter"
"563","Langtree Charter Academy","Asian",120,0.074487895716946,"charter"
"564","Langtree Charter Academy","Other",266,0.165114835505897,"charter"
"565","Lee County Schools","Black",2073,0.20817433219522,"public"
"566","Lee County Schools","White",3815,0.383109058043784,"public"
"567","Lee County Schools","Asian",74,0.00743121108656357,"public"
"568","Lee County Schools","Other",3996,0.401285398674433,"public"
"569","Lenoir County Schools","Black",4009,0.465513237343242,"public"
"570","Lenoir County Schools","White",3073,0.356827682303762,"public"
"571","Lenoir County Schools","Asian",71,0.00824431026474686,"public"
"572","Lenoir County Schools","Other",1459,0.169414770088249,"public"
"573","Lexington City Schools","Black",888,0.290290944753187,"public"
"574","Lexington City Schools","White",720,0.235371036286368,"public"
"575","Lexington City Schools","Asian",138,0.0451127819548872,"public"
"576","Lexington City Schools","Other",1313,0.429225237005557,"public"
"577","Lincoln Charter School","Black",73,0.0354713313896987,"charter"
"578","Lincoln Charter School","White",1694,0.82312925170068,"charter"
"579","Lincoln Charter School","Asian",26,0.0126336248785228,"charter"
"580","Lincoln Charter School","Other",265,0.128765792031098,"charter"
"581","Lincoln County Schools","Black",697,0.0615833186075278,"public"
"582","Lincoln County Schools","White",8769,0.774783530659127,"public"
"583","Lincoln County Schools","Asian",83,0.00733345113977735,"public"
"584","Lincoln County Schools","Other",1769,0.156299699593568,"public"
"585","Longleaf School of the Arts","Black",64,0.192192192192192,"charter"
"586","Longleaf School of the Arts","White",207,0.621621621621622,"charter"
"587","Longleaf School of the Arts","Asian",2,0.00600600600600601,"charter"
"588","Longleaf School of the Arts","Other",60,0.18018018018018,"charter"
"589","Macon County Schools","Black",27,0.00621976503109883,"public"
"590","Macon County Schools","White",3326,0.766182907164248,"public"
"591","Macon County Schools","Asian",37,0.00852338170928357,"public"
"592","Macon County Schools","Other",951,0.21907394609537,"public"
"593","Madison County Schools","Black",5,0.00219010074463425,"public"
"594","Madison County Schools","White",2134,0.934734997809899,"public"
"595","Madison County Schools","Asian",10,0.00438020148926851,"public"
"596","Madison County Schools","Other",134,0.058694699956198,"public"
"597","Magellan Charter","Black",11,0.027027027027027,"charter"
"598","Magellan Charter","White",332,0.815724815724816,"charter"
"599","Magellan Charter","Asian",27,0.0663390663390663,"charter"
"600","Magellan Charter","Other",37,0.0909090909090909,"charter"
"601","Mallard Creek STEM Academy","Black",294,0.455813953488372,"charter"
"602","Mallard Creek STEM Academy","White",149,0.231007751937985,"charter"
"603","Mallard Creek STEM Academy","Asian",92,0.142635658914729,"charter"
"604","Mallard Creek STEM Academy","Other",110,0.170542635658915,"charter"
"605","Martin County Schools","Black",1549,0.506871727748691,"public"
"606","Martin County Schools","White",1130,0.369764397905759,"public"
"607","Martin County Schools","Asian",24,0.00785340314136126,"public"
"608","Martin County Schools","Other",353,0.115510471204188,"public"
"609","Matthews-Mint Hill Charter Academy","Black",171,0.254464285714286,"charter"
"610","Matthews-Mint Hill Charter Academy","White",370,0.550595238095238,"charter"
"611","Matthews-Mint Hill Charter Academy","Asian",19,0.0282738095238095,"charter"
"612","Matthews-Mint Hill Charter Academy","Other",112,0.166666666666667,"charter"
"613","Maureen Joy Charter","Black",252,0.38828967642527,"charter"
"614","Maureen Joy Charter","White",0,0,"charter"
"615","Maureen Joy Charter","Asian",2,0.00308166409861325,"charter"
"616","Maureen Joy Charter","Other",395,0.608628659476117,"charter"
"617","McDowell County Schools","Black",176,0.0290620871862616,"public"
"618","McDowell County Schools","White",4759,0.785832232496698,"public"
"619","McDowell County Schools","Asian",59,0.00974240422721268,"public"
"620","McDowell County Schools","Other",1062,0.175363276089828,"public"
"621","Metrolina Regional Scholars Academy","Black",8,0.0213333333333333,"charter"
"622","Metrolina Regional Scholars Academy","White",127,0.338666666666667,"charter"
"623","Metrolina Regional Scholars Academy","Asian",219,0.584,"charter"
"624","Metrolina Regional Scholars Academy","Other",21,0.056,"charter"
"625","Millennium Charter Academy","Black",17,0.0202140309155767,"charter"
"626","Millennium Charter Academy","White",736,0.875148632580262,"charter"
"627","Millennium Charter Academy","Asian",10,0.0118906064209275,"charter"
"628","Millennium Charter Academy","Other",78,0.0927467300832342,"charter"
"629","Mitchell County Schools","Black",5,0.00269541778975741,"public"
"630","Mitchell County Schools","White",1595,0.859838274932615,"public"
"631","Mitchell County Schools","Asian",18,0.00970350404312668,"public"
"632","Mitchell County Schools","Other",237,0.127762803234501,"public"
"633","Montgomery County Schools","Black",764,0.195446405730366,"public"
"634","Montgomery County Schools","White",1598,0.408800204655922,"public"
"635","Montgomery County Schools","Asian",65,0.0166282936812484,"public"
"636","Montgomery County Schools","Other",1482,0.379125095932464,"public"
"637","Moore County Schools","Black",2014,0.159360658332015,"public"
"638","Moore County Schools","White",8110,0.641715461307169,"public"
"639","Moore County Schools","Asian",133,0.0105238170596613,"public"
"640","Moore County Schools","Other",2381,0.188400063301155,"public"
"641","Mooresville City Schools","Black",896,0.149682592716338,"public"
"642","Mooresville City Schools","White",3965,0.662378884062813,"public"
"643","Mooresville City Schools","Asian",112,0.0187103240895423,"public"
"644","Mooresville City Schools","Other",1013,0.169228199131306,"public"
"645","Mount Airy City Schools","Black",142,0.0886945658963148,"public"
"646","Mount Airy City Schools","White",1046,0.653341661461586,"public"
"647","Mount Airy City Schools","Asian",19,0.0118675827607745,"public"
"648","Mount Airy City Schools","Other",394,0.246096189881324,"public"
"649","Mountain Discovery Charter School","Black",2,0.0111111111111111,"charter"
"650","Mountain Discovery Charter School","White",156,0.866666666666667,"charter"
"651","Mountain Discovery Charter School","Asian",1,0.00555555555555556,"charter"
"652","Mountain Discovery Charter School","Other",21,0.116666666666667,"charter"
"653","Mountain Island Charter","Black",339,0.240255138199858,"charter"
"654","Mountain Island Charter","White",899,0.637136782423813,"charter"
"655","Mountain Island Charter","Asian",25,0.0177179305457123,"charter"
"656","Mountain Island Charter","Other",148,0.104890148830617,"charter"
"657","Movement Charter School","Black",267,0.898989898989899,"charter"
"658","Movement Charter School","White",10,0.0336700336700337,"charter"
"659","Movement Charter School","Asian",6,0.0202020202020202,"charter"
"660","Movement Charter School","Other",14,0.0471380471380471,"charter"
"661","NC Connections Academy","Black",393,0.193500738552437,"charter"
"662","NC Connections Academy","White",1147,0.564746430329887,"charter"
"663","NC Connections Academy","Asian",45,0.0221565731166913,"charter"
"664","NC Connections Academy","Other",446,0.219596258000985,"charter"
"665","NC Virtual Academy","Black",436,0.210831721470019,"charter"
"666","NC Virtual Academy","White",1229,0.594294003868472,"charter"
"667","NC Virtual Academy","Asian",19,0.00918762088974855,"charter"
"668","NC Virtual Academy","Other",384,0.18568665377176,"charter"
"669","NCDPS Juvenile Education
Services","Black",59,0.766233766233766,"charter"
"670","NCDPS Juvenile Education
Services","White",9,0.116883116883117,"charter"
"671","NCDPS Juvenile Education
Services","Asian",0,0,"charter"
"672","NCDPS Juvenile Education
Services","Other",9,0.116883116883117,"charter"
"673","Nash-Rocky Mount Schools","Black",7871,0.521914992374511,"public"
"674","Nash-Rocky Mount Schools","White",4613,0.305881572839997,"public"
"675","Nash-Rocky Mount Schools","Asian",130,0.0086201180293084,"public"
"676","Nash-Rocky Mount Schools","Other",2467,0.163583316756183,"public"
"677","Neuse Charter School","Black",124,0.132620320855615,"charter"
"678","Neuse Charter School","White",635,0.679144385026738,"charter"
"679","Neuse Charter School","Asian",5,0.0053475935828877,"charter"
"680","Neuse Charter School","Other",171,0.182887700534759,"charter"
"681","New Hanover County Schools","Black",5017,0.191393583336512,"public"
"682","New Hanover County Schools","White",15946,0.608324113989242,"public"
"683","New Hanover County Schools","Asian",468,0.0178537366955328,"public"
"684","New Hanover County Schools","Other",4782,0.182428565978713,"public"
"685","Newton-Conover City
Schools","Black",383,0.126905235255136,"public"
"686","Newton-Conover City
Schools","White",1412,0.467859509609013,"public"
"687","Newton-Conover City
Schools","Asian",170,0.0563286944996687,"public"
"688","Newton-Conover City
Schools","Other",1053,0.348906560636183,"public"
"689","North East Carolina Preparatory School","Black",354,0.39202657807309,"charter"
"690","North East Carolina Preparatory School","White",426,0.471760797342193,"charter"
"691","North East Carolina Preparatory School","Asian",5,0.00553709856035437,"charter"
"692","North East Carolina Preparatory School","Other",118,0.130675526024363,"charter"
"693","Northampton County Schools","Black",1352,0.823386114494519,"public"
"694","Northampton County Schools","White",169,0.102923264311815,"public"
"695","Northampton County Schools","Asian",9,0.00548112058465286,"public"
"696","Northampton County Schools","Other",112,0.0682095006090134,"public"
"697","Northeast Academy of Aerospace & AdvTech","Black",59,0.168091168091168,"charter"
"698","Northeast Academy of Aerospace & AdvTech","White",248,0.706552706552707,"charter"
"699","Northeast Academy of Aerospace & AdvTech","Asian",0,0,"charter"
"700","Northeast Academy of Aerospace & AdvTech","Other",44,0.125356125356125,"charter"
"701","Northeast Regional School -
Biotech//Agriscience","Black",39,0.168103448275862,"charter"
"702","Northeast Regional School -
Biotech//Agriscience","White",154,0.663793103448276,"charter"
"703","Northeast Regional School -
Biotech//Agriscience","Asian",1,0.00431034482758621,"charter"
"704","Northeast Regional School -
Biotech//Agriscience","Other",38,0.163793103448276,"charter"
"705","Onslow County Schools","Black",4961,0.18735601797651,"public"
"706","Onslow County Schools","White",14870,0.561577098833038,"public"
"707","Onslow County Schools","Asian",316,0.0119339854224102,"public"
"708","Onslow County Schools","Other",6332,0.239132897768043,"public"
"709","Orange Charter","Black",20,0.0376647834274953,"charter"
"710","Orange Charter","White",448,0.843691148775895,"charter"
"711","Orange Charter","Asian",2,0.00376647834274953,"charter"
"712","Orange Charter","Other",61,0.114877589453861,"charter"
"713","Orange County Schools","Black",1039,0.141959284055199,"public"
"714","Orange County Schools","White",4104,0.560732340483673,"public"
"715","Orange County Schools","Asian",91,0.0124333925399645,"public"
"716","Orange County Schools","Other",2085,0.284874982921164,"public"
"717","Oxford Preparatory High School","Black",39,0.100515463917526,"charter"
"718","Oxford Preparatory High School","White",320,0.824742268041237,"charter"
"719","Oxford Preparatory High School","Asian",3,0.0077319587628866,"charter"
"720","Oxford Preparatory High School","Other",26,0.0670103092783505,"charter"
"721","PAVE Southeast Raleigh Charter School","Black",203,0.638364779874214,"charter"
"722","PAVE Southeast Raleigh Charter School","White",15,0.0471698113207547,"charter"
"723","PAVE Southeast Raleigh Charter School","Asian",2,0.00628930817610063,"charter"
"724","PAVE Southeast Raleigh Charter School","Other",98,0.308176100628931,"charter"
"725","Pamlico County Schools","Black",266,0.21486268174475,"public"
"726","Pamlico County Schools","White",770,0.621970920840065,"public"
"727","Pamlico County Schools","Asian",9,0.00726978998384491,"public"
"728","Pamlico County Schools","Other",193,0.155896607431341,"public"
"729","Pasquotank County Schools","Black",2483,0.448518786127168,"public"
"730","Pasquotank County Schools","White",2262,0.408598265895954,"public"
"731","Pasquotank County Schools","Asian",48,0.00867052023121387,"public"
"732","Pasquotank County Schools","Other",743,0.134212427745665,"public"
"733","Paul R Brown Leadership
Academy","Black",117,0.65,"charter"
"734","Paul R Brown Leadership
Academy","White",33,0.183333333333333,"charter"
"735","Paul R Brown Leadership
Academy","Asian",0,0,"charter"
"736","Paul R Brown Leadership
Academy","Other",30,0.166666666666667,"charter"
"737","Peak Charter Academy","Black",61,0.101666666666667,"charter"
"738","Peak Charter Academy","White",342,0.57,"charter"
"739","Peak Charter Academy","Asian",131,0.218333333333333,"charter"
"740","Peak Charter Academy","Other",66,0.11,"charter"
"741","Pender County Schools","Black",1300,0.140570934256055,"public"
"742","Pender County Schools","White",6179,0.66814446366782,"public"
"743","Pender County Schools","Asian",49,0.00529844290657439,"public"
"744","Pender County Schools","Other",1720,0.18598615916955,"public"
"745","Perquimans County Schools","Black",431,0.269543464665416,"public"
"746","Perquimans County Schools","White",1050,0.656660412757974,"public"
"747","Perquimans County Schools","Asian",2,0.00125078173858662,"public"
"748","Perquimans County Schools","Other",116,0.0725453408380238,"public"
"749","Person County Schools","Black",1549,0.349188458070334,"public"
"750","Person County Schools","White",2206,0.497294860234445,"public"
"751","Person County Schools","Asian",16,0.0036068530207394,"public"
"752","Person County Schools","Other",665,0.149909828674482,"public"
"753","Phoenix Academy Inc","Black",261,0.273012552301255,"charter"
"754","Phoenix Academy Inc","White",461,0.482217573221757,"charter"
"755","Phoenix Academy Inc","Asian",81,0.0847280334728033,"charter"
"756","Phoenix Academy Inc","Other",153,0.160041841004184,"charter"
"757","Piedmont Classical High School","Black",153,0.37046004842615,"charter"
"758","Piedmont Classical High School","White",189,0.457627118644068,"charter"
"759","Piedmont Classical High School","Asian",5,0.0121065375302663,"charter"
"760","Piedmont Classical High School","Other",66,0.159806295399516,"charter"
"761","Piedmont Community Charter","Black",224,0.169568508705526,"charter"
"762","Piedmont Community Charter","White",846,0.640423921271764,"charter"
"763","Piedmont Community Charter","Asian",25,0.0189250567751703,"charter"
"764","Piedmont Community Charter","Other",226,0.17108251324754,"charter"
"765","Pine Lake Preparatory","Black",37,0.0198711063372718,"charter"
"766","Pine Lake Preparatory","White",1620,0.870032223415682,"charter"
"767","Pine Lake Preparatory","Asian",81,0.0435016111707841,"charter"
"768","Pine Lake Preparatory","Other",124,0.0665950590762621,"charter"
"769","Pine Springs Preparatory Academy: CFA","Black",19,0.037328094302554,"charter"
"770","Pine Springs Preparatory Academy: CFA","White",389,0.764243614931238,"charter"
"771","Pine Springs Preparatory Academy: CFA","Asian",20,0.0392927308447937,"charter"
"772","Pine Springs Preparatory Academy: CFA","Other",81,0.159135559921415,"charter"
"773","Pinnacle Classical Academy","Black",81,0.110354223433243,"charter"
"774","Pinnacle Classical Academy","White",565,0.769754768392371,"charter"
"775","Pinnacle Classical Academy","Asian",8,0.0108991825613079,"charter"
"776","Pinnacle Classical Academy","Other",80,0.108991825613079,"charter"
"777","Pioneer Springs Community School","Black",10,0.0355871886120996,"charter"
"778","Pioneer Springs Community School","White",224,0.797153024911032,"charter"
"779","Pioneer Springs Community School","Asian",3,0.0106761565836299,"charter"
"780","Pioneer Springs Community School","Other",44,0.156583629893238,"charter"
"781","Pitt County Schools","Black",10944,0.466297400937367,"public"
"782","Pitt County Schools","White",8421,0.358798466126971,"public"
"783","Pitt County Schools","Asian",361,0.0153813378781423,"public"
"784","Pitt County Schools","Other",3744,0.15952279505752,"public"
"785","Polk County Schools","Black",110,0.0524059075750357,"public"
"786","Polk County Schools","White",1620,0.771796093377799,"public"
