"","School_District","demographic","children_5_17","percent_final","type"
"787","Polk County Schools","Asian",6,0.0028585040495474,"public"
"788","Polk County Schools","Other",363,0.172939494997618,"public"
"789","PreEminent Charter School","Black",429,0.723440134907251,"charter"
"790","PreEminent Charter School","White",14,0.0236087689713322,"charter"
"791","PreEminent Charter School","Asian",9,0.015177065767285,"charter"
"792","PreEminent Charter School","Other",141,0.237774030354132,"charter"
"793","Quality Education Academy","Black",402,0.737614678899083,"charter"
"794","Quality Education Academy","White",0,0,"charter"
"795","Quality Education Academy","Asian",0,0,"charter"
"796","Quality Education Academy","Other",143,0.262385321100917,"charter"
"797","Queen City STEM School","Black",204,0.390804597701149,"charter"
"798","Queen City STEM School","White",47,0.0900383141762452,"charter"
"799","Queen City STEM School","Asian",192,0.367816091954023,"charter"
"800","Queen City STEM School","Other",79,0.151340996168582,"charter"
"801","Queens Grant Community School","Black",297,0.233124018838305,"charter"
"802","Queens Grant Community School","White",785,0.616169544740973,"charter"
"803","Queens Grant Community School","Asian",26,0.0204081632653061,"charter"
"804","Queens Grant Community School","Other",166,0.130298273155416,"charter"
"805","Quest Academy","Black",5,0.0354609929078014,"charter"
"806","Quest Academy","White",114,0.808510638297872,"charter"
"807","Quest Academy","Asian",6,0.0425531914893617,"charter"
"808","Quest Academy","Other",16,0.113475177304965,"charter"
"809","Raleigh Charter High School","Black",26,0.0460992907801418,"charter"
"810","Raleigh Charter High School","White",358,0.634751773049645,"charter"
"811","Raleigh Charter High School","Asian",130,0.230496453900709,"charter"
"812","Raleigh Charter High School","Other",50,0.0886524822695035,"charter"
"813","Randolph County Schools","Black",622,0.0372745250794031,"public"
"814","Randolph County Schools","White",12041,0.721579672799185,"public"
"815","Randolph County Schools","Asian",268,0.0160604063043087,"public"
"816","Randolph County Schools","Other",3756,0.225085395817103,"public"
"817","Reaching All Minds Academy","Black",110,0.401459854014599,"charter"
"818","Reaching All Minds Academy","White",0,0,"charter"
"819","Reaching All Minds Academy","Asian",0,0,"charter"
"820","Reaching All Minds Academy","Other",164,0.598540145985402,"charter"
"821","Research Triangle Charter","Black",499,0.710826210826211,"charter"
"822","Research Triangle Charter","White",30,0.0427350427350427,"charter"
"823","Research Triangle Charter","Asian",13,0.0185185185185185,"charter"
"824","Research Triangle Charter","Other",160,0.227920227920228,"charter"
"825","Research Triangle High School","Black",94,0.181467181467181,"charter"
"826","Research Triangle High School","White",280,0.540540540540541,"charter"
"827","Research Triangle High School","Asian",70,0.135135135135135,"charter"
"828","Research Triangle High School","Other",74,0.142857142857143,"charter"
"829","Richmond County Schools","Black",2544,0.353284266074156,"public"
"830","Richmond County Schools","White",3138,0.435772809332037,"public"
"831","Richmond County Schools","Asian",42,0.00583252326065824,"public"
"832","Richmond County Schools","Other",1477,0.205110401333148,"public"
"833","River Mill Academy","Black",106,0.133165829145729,"charter"
"834","River Mill Academy","White",577,0.724874371859296,"charter"
"835","River Mill Academy","Asian",13,0.0163316582914573,"charter"
"836","River Mill Academy","Other",100,0.125628140703518,"charter"
"837","Roanoke Rapids City Schools","Black",771,0.267894371091035,"public"
"838","Roanoke Rapids City Schools","White",1725,0.599374565670605,"public"
"839","Roanoke Rapids City Schools","Asian",54,0.0187630298818624,"public"
"840","Roanoke Rapids City Schools","Other",328,0.113968033356498,"public"
"841","Robeson County Schools","Black",5299,0.236520264238529,"public"
"842","Robeson County Schools","White",2865,0.127878950187467,"public"
"843","Robeson County Schools","Asian",123,0.00549009105516872,"public"
"844","Robeson County Schools","Other",14117,0.630110694518836,"public"
"845","Rockingham County Schools","Black",2353,0.194446739938848,"public"
"846","Rockingham County Schools","White",7273,0.60102470870176,"public"
"847","Rockingham County Schools","Asian",66,0.00545409470291711,"public"
"848","Rockingham County Schools","Other",2409,0.199074456656475,"public"
"849","Rocky Mount Preparatory","Black",948,0.754777070063694,"charter"
"850","Rocky Mount Preparatory","White",166,0.132165605095541,"charter"
"851","Rocky Mount Preparatory","Asian",3,0.00238853503184713,"charter"
"852","Rocky Mount Preparatory","Other",139,0.110668789808917,"charter"
"853","Rowan-Salisbury County Schools","Black",3555,0.185697868783953,"public"
"854","Rowan-Salisbury County Schools","White",11140,0.581905557877142,"public"
"855","Rowan-Salisbury County Schools","Asian",205,0.0107083159214375,"public"
"856","Rowan-Salisbury County Schools","Other",4244,0.221688257417468,"public"
"857","Roxboro Community School","Black",63,0.0882352941176471,"charter"
"858","Roxboro Community School","White",589,0.824929971988795,"charter"
"859","Roxboro Community School","Asian",0,0,"charter"
"860","Roxboro Community School","Other",62,0.0868347338935574,"charter"
"861","Rutherford County Schools","Black",980,0.121527777777778,"public"
"862","Rutherford County Schools","White",5836,0.723710317460317,"public"
"863","Rutherford County Schools","Asian",36,0.00446428571428571,"public"
"864","Rutherford County Schools","Other",1212,0.150297619047619,"public"
"865","Sallie B Howard School","Black",582,0.577380952380952,"charter"
"866","Sallie B Howard School","White",17,0.0168650793650794,"charter"
"867","Sallie B Howard School","Asian",6,0.00595238095238095,"charter"
"868","Sallie B Howard School","Other",403,0.399801587301587,"charter"
"869","Sampson County Schools","Black",1509,0.182290408311186,"public"
"870","Sampson County Schools","White",3176,0.383667552548925,"public"
"871","Sampson County Schools","Asian",18,0.00217443827011355,"public"
"872","Sampson County Schools","Other",3575,0.431867600869775,"public"
"873","Sandhills Theatre Arts Renaissance School","Black",45,0.0885826771653543,"charter"
"874","Sandhills Theatre Arts Renaissance School","White",369,0.726377952755906,"charter"
"875","Sandhills Theatre Arts Renaissance School","Asian",1,0.00196850393700787,"charter"
"876","Sandhills Theatre Arts Renaissance School","Other",93,0.183070866141732,"charter"
"877","Scotland County Schools","Black",2626,0.457252307156538,"public"
"878","Scotland County Schools","White",1696,0.295316036914505,"public"
"879","Scotland County Schools","Asian",48,0.00835800104475013,"public"
"880","Scotland County Schools","Other",1373,0.239073654884207,"public"
"881","Shining Rock Classical Academy: CFA","Black",4,0.0100250626566416,"charter"
"882","Shining Rock Classical Academy: CFA","White",363,0.909774436090226,"charter"
"883","Shining Rock Classical Academy: CFA","Asian",2,0.0050125313283208,"charter"
"884","Shining Rock Classical Academy: CFA","Other",30,0.075187969924812,"charter"
"885","Socrates Academy","Black",42,0.0612244897959184,"charter"
"886","Socrates Academy","White",475,0.692419825072886,"charter"
"887","Socrates Academy","Asian",73,0.106413994169096,"charter"
"888","Socrates Academy","Other",96,0.139941690962099,"charter"
"889","South Brunswick Charter School","Black",19,0.0536723163841808,"charter"
"890","South Brunswick Charter School","White",293,0.827683615819209,"charter"
"891","South Brunswick Charter School","Asian",0,0,"charter"
"892","South Brunswick Charter School","Other",42,0.11864406779661,"charter"
"893","Southeastern Academy","Black",22,0.100917431192661,"charter"
"894","Southeastern Academy","White",157,0.720183486238532,"charter"
"895","Southeastern Academy","Asian",4,0.018348623853211,"charter"
"896","Southeastern Academy","Other",35,0.160550458715596,"charter"
"897","Southern Wake Academy","Black",38,0.0627062706270627,"charter"
"898","Southern Wake Academy","White",498,0.821782178217822,"charter"
"899","Southern Wake Academy","Asian",14,0.0231023102310231,"charter"
"900","Southern Wake Academy","Other",56,0.0924092409240924,"charter"
"901","Stanly County Schools","Black",1140,0.137664533268929,"public"
"902","Stanly County Schools","White",5708,0.689288733244777,"public"
"903","Stanly County Schools","Asian",273,0.032967032967033,"public"
"904","Stanly County Schools","Other",1160,0.140079700519261,"public"
"905","Sterling Montessori Academy","Black",54,0.0886699507389163,"charter"
"906","Sterling Montessori Academy","White",295,0.48440065681445,"charter"
"907","Sterling Montessori Academy","Asian",211,0.346469622331691,"charter"
"908","Sterling Montessori Academy","Other",49,0.0804597701149425,"charter"
"909","Stewart Creek High School","Black",112,0.741721854304636,"charter"
"910","Stewart Creek High School","White",7,0.0463576158940397,"charter"
"911","Stewart Creek High School","Asian",1,0.00662251655629139,"charter"
"912","Stewart Creek High School","Other",31,0.205298013245033,"charter"
"913","Stokes County Schools","Black",163,0.0275337837837838,"public"
"914","Stokes County Schools","White",5244,0.885810810810811,"public"
"915","Stokes County Schools","Asian",17,0.00287162162162162,"public"
"916","Stokes County Schools","Other",496,0.0837837837837838,"public"
"917","Success Charter School","Black",83,0.89247311827957,"charter"
"918","Success Charter School","White",4,0.043010752688172,"charter"
"919","Success Charter School","Asian",0,0,"charter"
"920","Success Charter School","Other",6,0.0645161290322581,"charter"
"921","Sugar Creek Charter","Black",1446,0.899813316739266,"charter"
"922","Sugar Creek Charter","White",2,0.00124455507156192,"charter"
"923","Sugar Creek Charter","Asian",3,0.00186683260734287,"charter"
"924","Sugar Creek Charter","Other",156,0.0970752955818295,"charter"
"925","Summerfield Charter Academy","Black",83,0.108781127129751,"charter"
"926","Summerfield Charter Academy","White",517,0.677588466579292,"charter"
"927","Summerfield Charter Academy","Asian",97,0.127129750982962,"charter"
"928","Summerfield Charter Academy","Other",66,0.0865006553079948,"charter"
"929","Summit Charter","Black",1,0.00413223140495868,"charter"
"930","Summit Charter","White",199,0.822314049586777,"charter"
"931","Summit Charter","Asian",0,0,"charter"
"932","Summit Charter","Other",42,0.173553719008264,"charter"
"933","Surry County Schools","Black",190,0.0241177963950241,"public"
"934","Surry County Schools","White",5539,0.703097232800203,"public"
"935","Surry County Schools","Asian",31,0.00393500888550394,"public"
"936","Surry County Schools","Other",2118,0.268849961919269,"public"
"937","Swain County Schools","Black",15,0.00762970498474059,"public"
"938","Swain County Schools","White",1284,0.653102746693795,"public"
"939","Swain County Schools","Asian",14,0.00712105798575788,"public"
"940","Swain County Schools","Other",653,0.332146490335707,"public"
"941","The Academy of Moore County","Black",33,0.0956521739130435,"charter"
"942","The Academy of Moore County","White",251,0.727536231884058,"charter"
"943","The Academy of Moore County","Asian",4,0.0115942028985507,"charter"
"944","The Academy of Moore County","Other",57,0.165217391304348,"charter"
"945","The Capitol Encore Academy","Black",150,0.334075723830735,"charter"
"946","The Capitol Encore Academy","White",181,0.403118040089087,"charter"
"947","The Capitol Encore Academy","Asian",2,0.0044543429844098,"charter"
"948","The Capitol Encore Academy","Other",116,0.258351893095768,"charter"
"949","The College Preparatory and Leadership Academy","Black",537,0.866129032258064,"charter"
"950","The College Preparatory and Leadership Academy","White",5,0.00806451612903226,"charter"
"951","The College Preparatory and Leadership Academy","Asian",1,0.00161290322580645,"charter"
"952","The College Preparatory and Leadership Academy","Other",77,0.124193548387097,"charter"
"953","The Expedition School","Black",5,0.0148809523809524,"charter"
"954","The Expedition School","White",282,0.839285714285714,"charter"
"955","The Expedition School","Asian",5,0.0148809523809524,"charter"
"956","The Expedition School","Other",44,0.130952380952381,"charter"
"957","The Exploris School","Black",29,0.0688836104513064,"charter"
"958","The Exploris School","White",341,0.809976247030879,"charter"
"959","The Exploris School","Asian",14,0.0332541567695962,"charter"
"960","The Exploris School","Other",37,0.0878859857482185,"charter"
"961","The Franklin School of Innovation","Black",10,0.0207900207900208,"charter"
"962","The Franklin School of Innovation","White",401,0.833679833679834,"charter"
"963","The Franklin School of Innovation","Asian",8,0.0166320166320166,"charter"
"964","The Franklin School of Innovation","Other",62,0.128898128898129,"charter"
"965","The Hawbridge School","Black",11,0.0348101265822785,"charter"
"966","The Hawbridge School","White",267,0.844936708860759,"charter"
"967","The Hawbridge School","Asian",5,0.0158227848101266,"charter"
"968","The Hawbridge School","Other",33,0.104430379746835,"charter"
"969","The Institute for the Development of Young Leaders","Black",211,0.712837837837838,"charter"
"970","The Institute for the Development of Young Leaders","White",5,0.0168918918918919,"charter"
"971","The Institute for the Development of Young Leaders","Asian",4,0.0135135135135135,"charter"
"972","The Institute for the Development of Young Leaders","Other",76,0.256756756756757,"charter"
"973","The Learning Center","Black",8,0.0423280423280423,"charter"
"974","The Learning Center","White",168,0.888888888888889,"charter"
"975","The Learning Center","Asian",0,0,"charter"
"976","The Learning Center","Other",13,0.0687830687830688,"charter"
"977","The Mountain Community School","Black",4,0.02,"charter"
"978","The Mountain Community School","White",175,0.875,"charter"
"979","The Mountain Community School","Asian",0,0,"charter"
"980","The Mountain Community School","Other",21,0.105,"charter"
"981","The New Dimensions School","Black",14,0.049645390070922,"charter"
"982","The New Dimensions School","White",238,0.843971631205674,"charter"
"983","The New Dimensions School","Asian",2,0.00709219858156028,"charter"
"984","The New Dimensions School","Other",28,0.099290780141844,"charter"
"985","The North Carolina Leadership Academy","Black",29,0.0377604166666667,"charter"
"986","The North Carolina Leadership Academy","White",646,0.841145833333333,"charter"
"987","The North Carolina Leadership Academy","Asian",14,0.0182291666666667,"charter"
"988","The North Carolina Leadership Academy","Other",79,0.102864583333333,"charter"
"989","Thomas Jefferson Classical Academy","Black",76,0.0587780355761794,"charter"
"990","Thomas Jefferson Classical Academy","White",1029,0.795823665893271,"charter"
"991","Thomas Jefferson Classical Academy","Asian",29,0.0224284609435422,"charter"
"992","Thomas Jefferson Classical Academy","Other",159,0.122969837587007,"charter"
"993","Thomasville City Schools","Black",838,0.366258741258741,"public"
"994","Thomasville City Schools","White",484,0.211538461538462,"public"
"995","Thomasville City Schools","Asian",18,0.00786713286713287,"public"
"996","Thomasville City Schools","Other",948,0.414335664335664,"public"
"997","Thunderbird Preparatory School","Black",38,0.304,"charter"
"998","Thunderbird Preparatory School","White",50,0.4,"charter"
"999","Thunderbird Preparatory School","Asian",5,0.04,"charter"
"1000","Thunderbird Preparatory School","Other",32,0.256,"charter"
"1001","Tiller School","Black",3,0.0145631067961165,"charter"
"1002","Tiller School","White",174,0.844660194174757,"charter"
"1003","Tiller School","Asian",3,0.0145631067961165,"charter"
"1004","Tiller School","Other",26,0.12621359223301,"charter"
"1005","Torchlight Academy","Black",320,0.601503759398496,"charter"
"1006","Torchlight Academy","White",1,0.0018796992481203,"charter"
"1007","Torchlight Academy","Asian",0,0,"charter"
"1008","Torchlight Academy","Other",211,0.396616541353383,"charter"
"1009","Transylvania County Schools","Black",155,0.0455212922173275,"public"
"1010","Transylvania County Schools","White",2753,0.808516886930984,"public"
"1011","Transylvania County Schools","Asian",21,0.00616740088105727,"public"
"1012","Transylvania County Schools","Other",476,0.139794419970631,"public"
"1013","Triad Math and Science Academy","Black",747,0.600965406275141,"charter"
"1014","Triad Math and Science Academy","White",172,0.138374899436846,"charter"
"1015","Triad Math and Science Academy","Asian",54,0.0434432823813355,"charter"
"1016","Triad Math and Science Academy","Other",270,0.217216411906677,"charter"
"1017","Triangle Math and Science Academy","Black",151,0.173963133640553,"charter"
"1018","Triangle Math and Science Academy","White",295,0.339861751152074,"charter"
"1019","Triangle Math and Science Academy","Asian",311,0.358294930875576,"charter"
"1020","Triangle Math and Science Academy","Other",111,0.127880184331797,"charter"
"1021","Two Rivers Community School","Black",2,0.0113636363636364,"charter"
"1022","Two Rivers Community School","White",164,0.931818181818182,"charter"
"1023","Two Rivers Community School","Asian",0,0,"charter"
"1024","Two Rivers Community School","Other",10,0.0568181818181818,"charter"
"1025","Tyrrell County Schools","Black",194,0.323873121869783,"public"
"1026","Tyrrell County Schools","White",225,0.375626043405676,"public"
"1027","Tyrrell County Schools","Asian",16,0.0267111853088481,"public"
"1028","Tyrrell County Schools","Other",164,0.273789649415693,"public"
"1029","Union Academy Charter School","Black",130,0.0760233918128655,"charter"
"1030","Union Academy Charter School","White",1270,0.742690058479532,"charter"
"1031","Union Academy Charter School","Asian",37,0.0216374269005848,"charter"
"1032","Union Academy Charter School","Other",273,0.159649122807018,"charter"
"1033","Union County Schools","Black",5162,0.124963687421323,"public"
"1034","Union County Schools","White",25691,0.621937639198218,"public"
"1035","Union County Schools","Asian",1666,0.0403311707175366,"public"
"1036","Union County Schools","Other",8789,0.212767502662922,"public"
"1037","Union Day School","Black",28,0.0665083135391924,"charter"
"1038","Union Day School","White",285,0.676959619952494,"charter"
"1039","Union Day School","Asian",64,0.152019002375297,"charter"
"1040","Union Day School","Other",44,0.104513064133017,"charter"
"1041","Union Preparatory Academy at Indian Trail","Black",184,0.223300970873786,"charter"
"1042","Union Preparatory Academy at Indian Trail","White",420,0.509708737864078,"charter"
"1043","Union Preparatory Academy at Indian Trail","Asian",16,0.0194174757281553,"charter"
"1044","Union Preparatory Academy at Indian Trail","Other",204,0.247572815533981,"charter"
"1045","United Community School","Black",90,0.418604651162791,"charter"
"1046","United Community School","White",83,0.386046511627907,"charter"
"1047","United Community School","Asian",1,0.00465116279069767,"charter"
"1048","United Community School","Other",41,0.190697674418605,"charter"
"1049","Unity Classical Charter School","Black",38,0.358490566037736,"charter"
"1050","Unity Classical Charter School","White",36,0.339622641509434,"charter"
"1051","Unity Classical Charter School","Asian",5,0.0471698113207547,"charter"
"1052","Unity Classical Charter School","Other",27,0.254716981132075,"charter"
"1053","UpROAR Leadership Academy","Black",161,0.889502762430939,"charter"
"1054","UpROAR Leadership Academy","White",2,0.0110497237569061,"charter"
"1055","UpROAR Leadership Academy","Asian",0,0,"charter"
"1056","UpROAR Leadership Academy","Other",18,0.0994475138121547,"charter"
"1057","Uwharrie Charter Academy","Black",45,0.0441176470588235,"charter"
"1058","Uwharrie Charter Academy","White",896,0.87843137254902,"charter"
"1059","Uwharrie Charter Academy","Asian",8,0.00784313725490196,"charter"
"1060","Uwharrie Charter Academy","Other",71,0.0696078431372549,"charter"
"1061","VERITAS Community School","Black",81,0.455056179775281,"charter"
"1062","VERITAS Community School","White",51,0.286516853932584,"charter"
"1063","VERITAS Community School","Asian",2,0.0112359550561798,"charter"
"1064","VERITAS Community School","Other",44,0.247191011235955,"charter"
"1065","Vance Charter School","Black",69,0.0945205479452055,"charter"
"1066","Vance Charter School","White",598,0.819178082191781,"charter"
"1067","Vance Charter School","Asian",19,0.026027397260274,"charter"
"1068","Vance Charter School","Other",44,0.0602739726027397,"charter"
"1069","Vance County Schools","Black",3830,0.647615826851539,"public"
"1070","Vance County Schools","White",1002,0.169428474805546,"public"
"1071","Vance County Schools","Asian",66,0.0111599594183294,"public"
"1072","Vance County Schools","Other",1016,0.171795738924586,"public"
"1073","Voyager Academy","Black",317,0.235163204747774,"charter"
"1074","Voyager Academy","White",830,0.615727002967359,"charter"
"1075","Voyager Academy","Asian",49,0.0363501483679525,"charter"
"1076","Voyager Academy","Other",152,0.112759643916914,"charter"
"1077","Wake County Schools","Black",36765,0.22964489834161,"public"
"1078","Wake County Schools","White",74241,0.463730909772323,"public"
"1079","Wake County Schools","Asian",14160,0.0884474843061932,"public"
"1080","Wake County Schools","Other",34929,0.218176707579874,"public"
"1081","Wake Forest Charter Academy","Black",85,0.111989459815547,"charter"
"1082","Wake Forest Charter Academy","White",558,0.735177865612648,"charter"
"1083","Wake Forest Charter Academy","Asian",35,0.0461133069828722,"charter"
"1084","Wake Forest Charter Academy","Other",81,0.106719367588933,"charter"
"1085","Warren County Schools","Black",1333,0.657946692991116,"public"
"1086","Warren County Schools","White",310,0.153010858835143,"public"
"1087","Warren County Schools","Asian",6,0.00296150049358342,"public"
"1088","Warren County Schools","Other",377,0.186080947680158,"public"
"1089","Washington County Schools","Black",1047,0.734736842105263,"public"
"1090","Washington County Schools","White",215,0.150877192982456,"public"
"1091","Washington County Schools","Asian",8,0.0056140350877193,"public"
"1092","Washington County Schools","Other",155,0.108771929824561,"public"
"1093","Washington Montessori","Black",17,0.0416666666666667,"charter"
"1094","Washington Montessori","White",352,0.862745098039216,"charter"
"1095","Washington Montessori","Asian",5,0.0122549019607843,"charter"
"1096","Washington Montessori","Other",34,0.0833333333333333,"charter"
"1097","Watauga County Schools","Black",55,0.0121412803532009,"public"
"1098","Watauga County Schools","White",3850,0.849889624724062,"public"
"1099","Watauga County Schools","Asian",66,0.0145695364238411,"public"
"1100","Watauga County Schools","Other",559,0.123399558498896,"public"
"1101","Water's Edge Village School","Black",2,0.0588235294117647,"charter"
"1102","Water's Edge Village School","White",27,0.794117647058823,"charter"
"1103","Water's Edge Village School","Asian",1,0.0294117647058824,"charter"
"1104","Water's Edge Village School","Other",4,0.117647058823529,"charter"
"1105","Wayne County Schools","Black",6537,0.353160453808752,"public"
"1106","Wayne County Schools","White",6786,0.366612641815235,"public"
"1107","Wayne County Schools","Asian",231,0.0124797406807131,"public"
"1108","Wayne County Schools","Other",4956,0.2677471636953,"public"
"1109","Wayne Preparatory","Black",132,0.23826714801444,"charter"
"1110","Wayne Preparatory","White",335,0.604693140794224,"charter"
"1111","Wayne Preparatory","Asian",4,0.0072202166064982,"charter"
"1112","Wayne Preparatory","Other",83,0.149819494584838,"charter"
"1113","Weldon City Schools","Black",803,0.932636469221835,"public"
"1114","Weldon City Schools","White",26,0.0301974448315912,"public"
"1115","Weldon City Schools","Asian",1,0.00116144018583043,"public"
"1116","Weldon City Schools","Other",31,0.0360046457607433,"public"
"1117","Whiteville City Schools","Black",969,0.432589285714286,"public"
"1118","Whiteville City Schools","White",878,0.391964285714286,"public"
"1119","Whiteville City Schools","Asian",8,0.00357142857142857,"public"
"1120","Whiteville City Schools","Other",385,0.171875,"public"
"1121","Wilkes County Schools","Black",358,0.0380729554397533,"public"
"1122","Wilkes County Schools","White",7200,0.765713070296714,"public"
"1123","Wilkes County Schools","Asian",45,0.00478570668935446,"public"
"1124","Wilkes County Schools","Other",1800,0.191428267574178,"public"
"1125","Williams Academy (fka Crossnore)","Black",8,0.0655737704918033,"charter"
"1126","Williams Academy (fka Crossnore)","White",101,0.827868852459016,"charter"
"1127","Williams Academy (fka Crossnore)","Asian",0,0,"charter"
"1128","Williams Academy (fka Crossnore)","Other",13,0.10655737704918,"charter"
"1129","Willow Oak Montessori","Black",4,0.0191387559808612,"charter"
"1130","Willow Oak Montessori","White",167,0.799043062200957,"charter"
"1131","Willow Oak Montessori","Asian",6,0.0287081339712919,"charter"
"1132","Willow Oak Montessori","Other",32,0.15311004784689,"charter"
"1133","Wilmington Preparatory Academy","Black",88,0.619718309859155,"charter"
"1134","Wilmington Preparatory Academy","White",36,0.253521126760563,"charter"
"1135","Wilmington Preparatory Academy","Asian",0,0,"charter"
"1136","Wilmington Preparatory Academy","Other",18,0.126760563380282,"charter"
"1137","Wilson County Schools","Black",5146,0.444963251188932,"public"
"1138","Wilson County Schools","White",3573,0.308949416342412,"public"
"1139","Wilson County Schools","Asian",146,0.0126242974492002,"public"
"1140","Wilson County Schools","Other",2700,0.233463035019455,"public"
"1141","Wilson Preparatory Academy","Black",265,0.380747126436782,"charter"
"1142","Wilson Preparatory Academy","White",322,0.46264367816092,"charter"
"1143","Wilson Preparatory Academy","Asian",14,0.0201149425287356,"charter"
"1144","Wilson Preparatory Academy","Other",95,0.136494252873563,"charter"
"1145","Winterville Charter Academy","Black",302,0.504173622704507,"charter"
"1146","Winterville Charter Academy","White",214,0.357262103505843,"charter"
"1147","Winterville Charter Academy","Asian",17,0.0283806343906511,"charter"
"1148","Winterville Charter Academy","Other",66,0.110183639398998,"charter"
"1149","Woods Charter School","Black",24,0.046875,"charter"
"1150","Woods Charter School","White",421,0.822265625,"charter"
"1151","Woods Charter School","Asian",13,0.025390625,"charter"
"1152","Woods Charter School","Other",54,0.10546875,"charter"
"1153","Yadkin County Schools","Black",165,0.0314825414997138,"public"
"1154","Yadkin County Schools","White",3611,0.688990650639191,"public"
"1155","Yadkin County Schools","Asian",14,0.00267124594543026,"public"
"1156","Yadkin County Schools","Other",1451,0.276855561915665,"public"
"1157","Yancey County Schools charter","Black",11,0.00499545867393279,"charter"
"1158","Yancey County Schools charter","White",1840,0.835603996366939,"charter"
"1159","Yancey County Schools charter","Asian",0,0,"charter"
"1160","Yancey County Schools charter","Other",351,0.159400544959128,"charter"
"1161","Yancey County Schools public","Black",11,0.00501367365542388,"public"
"1162","Yancey County Schools public","White",1840,0.838650865998177,"public"
"1163","Yancey County Schools public","Asian",0,0,"public"
"1164","Yancey County Schools public","Other",343,0.156335460346399,"public"
"1165","Youngsville Academy","Black",18,0.0676691729323308,"charter"
"1166","Youngsville Academy","White",227,0.853383458646617,"charter"
"1167","Youngsville Academy","Asian",1,0.0037593984962406,"charter"
"1168","Youngsville Academy","Other",20,0.075187969924812,"charter"
"1169","Z.E.C.A. School of Arts and Technology","Black",115,0.680473372781065,"charter"
"1170","Z.E.C.A. School of Arts and Technology","White",20,0.118343195266272,"charter"
"1171","Z.E.C.A. School of Arts and Technology","Asian",0,0,"charter"
"1172","Z.E.C.A. School of Arts and Technology","Other",34,0.201183431952663,"charter"
