"","date","location","value","category","demographic","target"
"1",2020-04-18,"05",2605,"race/ethnicity","Asian","inc case"
"2",2020-04-25,"05",833,"race/ethnicity","Asian","inc case"
"3",2020-05-02,"05",806,"race/ethnicity","Asian","inc case"
"4",2020-05-09,"05",691,"race/ethnicity","Asian","inc case"
"5",2020-05-16,"05",869,"race/ethnicity","Asian","inc case"
"6",2020-05-23,"05",714,"race/ethnicity","Asian","inc case"
"7",2020-05-30,"05",691,"race/ethnicity","Asian","inc case"
"8",2020-06-06,"05",612,"race/ethnicity","Asian","inc case"
"9",2020-06-13,"05",529,"race/ethnicity","Asian","inc case"
"10",2020-06-20,"05",591,"race/ethnicity","Asian","inc case"
"11",2020-06-27,"05",783,"race/ethnicity","Asian","inc case"
"12",2020-07-04,"05",1289,"race/ethnicity","Asian","inc case"
"13",2020-07-11,"05",1460,"race/ethnicity","Asian","inc case"
"14",2020-07-18,"05",1714,"race/ethnicity","Asian","inc case"
"15",2020-07-25,"05",1903,"race/ethnicity","Asian","inc case"
"16",2020-08-01,"05",1686,"race/ethnicity","Asian","inc case"
"17",2020-08-08,"05",1883,"race/ethnicity","Asian","inc case"
"18",2020-08-15,"05",2166,"race/ethnicity","Asian","inc case"
"19",2020-08-22,"05",1759,"race/ethnicity","Asian","inc case"
"20",2020-08-29,"05",1716,"race/ethnicity","Asian","inc case"
"21",2020-09-05,"05",1587,"race/ethnicity","Asian","inc case"
"22",2020-09-12,"05",1443,"race/ethnicity","Asian","inc case"
"23",2020-09-19,"05",1317,"race/ethnicity","Asian","inc case"
"24",2020-09-26,"05",1194,"race/ethnicity","Asian","inc case"
"25",2020-10-03,"05",1149,"race/ethnicity","Asian","inc case"
"26",2020-10-10,"05",1048,"race/ethnicity","Asian","inc case"
"27",2020-10-17,"05",932,"race/ethnicity","Asian","inc case"
"28",2020-10-24,"05",1364,"race/ethnicity","Asian","inc case"
"29",2020-10-31,"05",1292,"race/ethnicity","Asian","inc case"
"30",2020-11-07,"05",1758,"race/ethnicity","Asian","inc case"
"31",2020-11-14,"05",2489,"race/ethnicity","Asian","inc case"
"32",2020-11-21,"05",3841,"race/ethnicity","Asian","inc case"
"33",2020-11-28,"05",4787,"race/ethnicity","Asian","inc case"
"34",2020-12-05,"05",7177,"race/ethnicity","Asian","inc case"
"35",2020-12-12,"05",10235,"race/ethnicity","Asian","inc case"
"36",2020-12-19,"05",14374,"race/ethnicity","Asian","inc case"
"37",2020-12-26,"05",13752,"race/ethnicity","Asian","inc case"
"38",2021-01-02,"05",14685,"race/ethnicity","Asian","inc case"
"39",2021-01-09,"05",16690,"race/ethnicity","Asian","inc case"
"40",2021-01-16,"05",17276,"race/ethnicity","Asian","inc case"
"41",2021-01-23,"05",10733,"race/ethnicity","Asian","inc case"
"42",2021-01-30,"05",10061,"race/ethnicity","Asian","inc case"
"43",2021-02-06,"05",6959,"race/ethnicity","Asian","inc case"
"44",2021-02-13,"05",5146,"race/ethnicity","Asian","inc case"
"45",2021-02-20,"05",3669,"race/ethnicity","Asian","inc case"
"46",2021-02-27,"05",3453,"race/ethnicity","Asian","inc case"
"47",2021-03-06,"05",2851,"race/ethnicity","Asian","inc case"
"48",2021-03-13,"05",2497,"race/ethnicity","Asian","inc case"
"49",2021-03-20,"05",1933,"race/ethnicity","Asian","inc case"
"50",2021-03-27,"05",1794,"race/ethnicity","Asian","inc case"
"51",2021-04-03,"05",1724,"race/ethnicity","Asian","inc case"
"52",2020-04-18,"05",1376,"race/ethnicity","Black","inc case"
"53",2020-04-25,"05",463,"race/ethnicity","Black","inc case"
"54",2020-05-02,"05",450,"race/ethnicity","Black","inc case"
"55",2020-05-09,"05",452,"race/ethnicity","Black","inc case"
"56",2020-05-16,"05",480,"race/ethnicity","Black","inc case"
"57",2020-05-23,"05",439,"race/ethnicity","Black","inc case"
"58",2020-05-30,"05",477,"race/ethnicity","Black","inc case"
"59",2020-06-06,"05",438,"race/ethnicity","Black","inc case"
"60",2020-06-13,"05",391,"race/ethnicity","Black","inc case"
"61",2020-06-20,"05",519,"race/ethnicity","Black","inc case"
"62",2020-06-27,"05",824,"race/ethnicity","Black","inc case"
"63",2020-07-04,"05",1123,"race/ethnicity","Black","inc case"
"64",2020-07-11,"05",1589,"race/ethnicity","Black","inc case"
"65",2020-07-18,"05",1657,"race/ethnicity","Black","inc case"
"66",2020-07-25,"05",1825,"race/ethnicity","Black","inc case"
"67",2020-08-01,"05",1521,"race/ethnicity","Black","inc case"
"68",2020-08-08,"05",1478,"race/ethnicity","Black","inc case"
"69",2020-08-15,"05",1859,"race/ethnicity","Black","inc case"
"70",2020-08-22,"05",1290,"race/ethnicity","Black","inc case"
"71",2020-08-29,"05",1223,"race/ethnicity","Black","inc case"
"72",2020-09-05,"05",1228,"race/ethnicity","Black","inc case"
"73",2020-09-12,"05",989,"race/ethnicity","Black","inc case"
"74",2020-09-19,"05",830,"race/ethnicity","Black","inc case"
"75",2020-09-26,"05",927,"race/ethnicity","Black","inc case"
"76",2020-10-03,"05",733,"race/ethnicity","Black","inc case"
"77",2020-10-10,"05",731,"race/ethnicity","Black","inc case"
"78",2020-10-17,"05",616,"race/ethnicity","Black","inc case"
"79",2020-10-24,"05",892,"race/ethnicity","Black","inc case"
"80",2020-10-31,"05",899,"race/ethnicity","Black","inc case"
"81",2020-11-07,"05",1201,"race/ethnicity","Black","inc case"
"82",2020-11-14,"05",1651,"race/ethnicity","Black","inc case"
"83",2020-11-21,"05",2427,"race/ethnicity","Black","inc case"
"84",2020-11-28,"05",2652,"race/ethnicity","Black","inc case"
"85",2020-12-05,"05",4061,"race/ethnicity","Black","inc case"
"86",2020-12-12,"05",5811,"race/ethnicity","Black","inc case"
"87",2020-12-19,"05",8032,"race/ethnicity","Black","inc case"
"88",2020-12-26,"05",8012,"race/ethnicity","Black","inc case"
"89",2021-01-02,"05",7787,"race/ethnicity","Black","inc case"
"90",2021-01-09,"05",9039,"race/ethnicity","Black","inc case"
"91",2021-01-16,"05",9297,"race/ethnicity","Black","inc case"
"92",2021-01-23,"05",6128,"race/ethnicity","Black","inc case"
"93",2021-01-30,"05",5142,"race/ethnicity","Black","inc case"
"94",2021-02-06,"05",3744,"race/ethnicity","Black","inc case"
"95",2021-02-13,"05",2922,"race/ethnicity","Black","inc case"
"96",2021-02-20,"05",2116,"race/ethnicity","Black","inc case"
"97",2021-02-27,"05",1850,"race/ethnicity","Black","inc case"
"98",2021-03-06,"05",1688,"race/ethnicity","Black","inc case"
"99",2021-03-13,"05",1505,"race/ethnicity","Black","inc case"
"100",2021-03-20,"05",1295,"race/ethnicity","Black","inc case"
"101",2021-03-27,"05",1215,"race/ethnicity","Black","inc case"
"102",2021-04-03,"05",1354,"race/ethnicity","Black","inc case"
"103",2020-04-18,"05",8195,"race/ethnicity","Latino","inc case"
"104",2020-04-25,"05",3897,"race/ethnicity","Latino","inc case"
"105",2020-05-02,"05",5035,"race/ethnicity","Latino","inc case"
"106",2020-05-09,"05",5398,"race/ethnicity","Latino","inc case"
"107",2020-05-16,"05",6683,"race/ethnicity","Latino","inc case"
"108",2020-05-23,"05",6552,"race/ethnicity","Latino","inc case"
"109",2020-05-30,"05",7137,"race/ethnicity","Latino","inc case"
"110",2020-06-06,"05",7405,"race/ethnicity","Latino","inc case"
"111",2020-06-13,"05",9400,"race/ethnicity","Latino","inc case"
"112",2020-06-20,"05",9690,"race/ethnicity","Latino","inc case"
"113",2020-06-27,"05",11483,"race/ethnicity","Latino","inc case"
"114",2020-07-04,"05",14505,"race/ethnicity","Latino","inc case"
"115",2020-07-11,"05",17474,"race/ethnicity","Latino","inc case"
"116",2020-07-18,"05",24803,"race/ethnicity","Latino","inc case"
"117",2020-07-25,"05",25334,"race/ethnicity","Latino","inc case"
"118",2020-08-01,"05",26424,"race/ethnicity","Latino","inc case"
"119",2020-08-08,"05",23995,"race/ethnicity","Latino","inc case"
"120",2020-08-15,"05",25521,"race/ethnicity","Latino","inc case"
"121",2020-08-22,"05",21232,"race/ethnicity","Latino","inc case"
"122",2020-08-29,"05",19081,"race/ethnicity","Latino","inc case"
"123",2020-09-05,"05",18594,"race/ethnicity","Latino","inc case"
"124",2020-09-12,"05",15744,"race/ethnicity","Latino","inc case"
"125",2020-09-19,"05",14693,"race/ethnicity","Latino","inc case"
"126",2020-09-26,"05",13325,"race/ethnicity","Latino","inc case"
"127",2020-10-03,"05",10234,"race/ethnicity","Latino","inc case"
"128",2020-10-10,"05",11166,"race/ethnicity","Latino","inc case"
"129",2020-10-17,"05",10742,"race/ethnicity","Latino","inc case"
"130",2020-10-24,"05",14181,"race/ethnicity","Latino","inc case"
"131",2020-10-31,"05",13580,"race/ethnicity","Latino","inc case"
"132",2020-11-07,"05",16717,"race/ethnicity","Latino","inc case"
"133",2020-11-14,"05",20979,"race/ethnicity","Latino","inc case"
"134",2020-11-21,"05",33185,"race/ethnicity","Latino","inc case"
"135",2020-11-28,"05",35675,"race/ethnicity","Latino","inc case"
"136",2020-12-05,"05",54385,"race/ethnicity","Latino","inc case"
"137",2020-12-12,"05",81004,"race/ethnicity","Latino","inc case"
"138",2020-12-19,"05",105958,"race/ethnicity","Latino","inc case"
"139",2020-12-26,"05",100981,"race/ethnicity","Latino","inc case"
"140",2021-01-02,"05",101512,"race/ethnicity","Latino","inc case"
"141",2021-01-09,"05",126217,"race/ethnicity","Latino","inc case"
"142",2021-01-16,"05",128861,"race/ethnicity","Latino","inc case"
"143",2021-01-23,"05",82871,"race/ethnicity","Latino","inc case"
"144",2021-01-30,"05",65928,"race/ethnicity","Latino","inc case"
"145",2021-02-06,"05",47182,"race/ethnicity","Latino","inc case"
"146",2021-02-13,"05",34277,"race/ethnicity","Latino","inc case"
"147",2021-02-20,"05",25516,"race/ethnicity","Latino","inc case"
"148",2021-02-27,"05",24474,"race/ethnicity","Latino","inc case"
"149",2021-03-06,"05",21878,"race/ethnicity","Latino","inc case"
"150",2021-03-13,"05",19268,"race/ethnicity","Latino","inc case"
"151",2021-03-20,"05",15032,"race/ethnicity","Latino","inc case"
"152",2021-03-27,"05",12828,"race/ethnicity","Latino","inc case"
"153",2021-04-03,"05",13984,"race/ethnicity","Latino","inc case"
"154",2020-04-18,"05",2222,"race/ethnicity","Other","inc case"
"155",2020-04-25,"05",244,"race/ethnicity","Other","inc case"
"156",2020-05-02,"05",476,"race/ethnicity","Other","inc case"
"157",2020-05-09,"05",477,"race/ethnicity","Other","inc case"
"158",2020-05-16,"05",525,"race/ethnicity","Other","inc case"
"159",2020-05-23,"05",1089,"race/ethnicity","Other","inc case"
"160",2020-05-30,"05",3520,"race/ethnicity","Other","inc case"
"161",2020-06-06,"05",2603,"race/ethnicity","Other","inc case"
"162",2020-06-13,"05",2561,"race/ethnicity","Other","inc case"
"163",2020-06-20,"05",3513,"race/ethnicity","Other","inc case"
"164",2020-06-27,"05",4439,"race/ethnicity","Other","inc case"
"165",2020-07-04,"05",6700,"race/ethnicity","Other","inc case"
"166",2020-07-11,"05",6911,"race/ethnicity","Other","inc case"
"167",2020-07-18,"05",6025,"race/ethnicity","Other","inc case"
"168",2020-07-25,"05",6743,"race/ethnicity","Other","inc case"
"169",2020-08-01,"05",2552,"race/ethnicity","Other","inc case"
"170",2020-08-08,"05",2408,"race/ethnicity","Other","inc case"
"171",2020-08-15,"05",5528,"race/ethnicity","Other","inc case"
"172",2020-08-22,"05",2126,"race/ethnicity","Other","inc case"
"173",2020-08-29,"05",2301,"race/ethnicity","Other","inc case"
"174",2020-09-05,"05",1049,"race/ethnicity","Other","inc case"
"175",2020-09-12,"05",656,"race/ethnicity","Other","inc case"
"176",2020-09-19,"05",897,"race/ethnicity","Other","inc case"
"177",2020-09-26,"05",1461,"race/ethnicity","Other","inc case"
"178",2020-10-03,"05",1397,"race/ethnicity","Other","inc case"
"179",2020-10-10,"05",1666,"race/ethnicity","Other","inc case"
"180",2020-10-17,"05",1018,"race/ethnicity","Other","inc case"
"181",2020-10-24,"05",2921,"race/ethnicity","Other","inc case"
"182",2020-10-31,"05",2255,"race/ethnicity","Other","inc case"
"183",2020-11-07,"05",3743,"race/ethnicity","Other","inc case"
"184",2020-11-14,"05",5856,"race/ethnicity","Other","inc case"
"185",2020-11-21,"05",8014,"race/ethnicity","Other","inc case"
"186",2020-11-28,"05",11207,"race/ethnicity","Other","inc case"
"187",2020-12-05,"05",15309,"race/ethnicity","Other","inc case"
"188",2020-12-12,"05",24428,"race/ethnicity","Other","inc case"
"189",2020-12-19,"05",34729,"race/ethnicity","Other","inc case"
"190",2020-12-26,"05",33839,"race/ethnicity","Other","inc case"
"191",2021-01-02,"05",33395,"race/ethnicity","Other","inc case"
"192",2021-01-09,"05",39913,"race/ethnicity","Other","inc case"
"193",2021-01-16,"05",37842,"race/ethnicity","Other","inc case"
"194",2021-01-23,"05",17732,"race/ethnicity","Other","inc case"
"195",2021-01-30,"05",13930,"race/ethnicity","Other","inc case"
"196",2021-02-06,"05",8005,"race/ethnicity","Other","inc case"
"197",2021-02-13,"05",4589,"race/ethnicity","Other","inc case"
"198",2021-02-20,"05",1650,"race/ethnicity","Other","inc case"
"199",2021-02-27,"05",884,"race/ethnicity","Other","inc case"
"200",2021-03-06,"05",259,"race/ethnicity","Other","inc case"
"201",2021-03-13,"05",351,"race/ethnicity","Other","inc case"
"202",2021-03-20,"05",0,"race/ethnicity","Other","inc case"
"203",2021-03-27,"05",116,"race/ethnicity","Other","inc case"
"204",2021-04-03,"05",475,"race/ethnicity","Other","inc case"
"205",2020-04-18,"05",5945,"race/ethnicity","White","inc case"
"206",2020-04-25,"05",1794,"race/ethnicity","White","inc case"
"207",2020-05-02,"05",1710,"race/ethnicity","White","inc case"
"208",2020-05-09,"05",1291,"race/ethnicity","White","inc case"
"209",2020-05-16,"05",1712,"race/ethnicity","White","inc case"
"210",2020-05-23,"05",1766,"race/ethnicity","White","inc case"
"211",2020-05-30,"05",1625,"race/ethnicity","White","inc case"
"212",2020-06-06,"05",1643,"race/ethnicity","White","inc case"
"213",2020-06-13,"05",1559,"race/ethnicity","White","inc case"
"214",2020-06-20,"05",2132,"race/ethnicity","White","inc case"
"215",2020-06-27,"05",3065,"race/ethnicity","White","inc case"
"216",2020-07-04,"05",5356,"race/ethnicity","White","inc case"
"217",2020-07-11,"05",6883,"race/ethnicity","White","inc case"
"218",2020-07-18,"05",7061,"race/ethnicity","White","inc case"
"219",2020-07-25,"05",7425,"race/ethnicity","White","inc case"
"220",2020-08-01,"05",5669,"race/ethnicity","White","inc case"
"221",2020-08-08,"05",5296,"race/ethnicity","White","inc case"
"222",2020-08-15,"05",6883,"race/ethnicity","White","inc case"
"223",2020-08-22,"05",4746,"race/ethnicity","White","inc case"
"224",2020-08-29,"05",5026,"race/ethnicity","White","inc case"
"225",2020-09-05,"05",4672,"race/ethnicity","White","inc case"
"226",2020-09-12,"05",4025,"race/ethnicity","White","inc case"
"227",2020-09-19,"05",3918,"race/ethnicity","White","inc case"
"228",2020-09-26,"05",4297,"race/ethnicity","White","inc case"
"229",2020-10-03,"05",3709,"race/ethnicity","White","inc case"
"230",2020-10-10,"05",3747,"race/ethnicity","White","inc case"
"231",2020-10-17,"05",3449,"race/ethnicity","White","inc case"
"232",2020-10-24,"05",4778,"race/ethnicity","White","inc case"
"233",2020-10-31,"05",5203,"race/ethnicity","White","inc case"
"234",2020-11-07,"05",7091,"race/ethnicity","White","inc case"
"235",2020-11-14,"05",9867,"race/ethnicity","White","inc case"
"236",2020-11-21,"05",14529,"race/ethnicity","White","inc case"
"237",2020-11-28,"05",17641,"race/ethnicity","White","inc case"
"238",2020-12-05,"05",23717,"race/ethnicity","White","inc case"
"239",2020-12-12,"05",32173,"race/ethnicity","White","inc case"
"240",2020-12-19,"05",42100,"race/ethnicity","White","inc case"
"241",2020-12-26,"05",40948,"race/ethnicity","White","inc case"
"242",2021-01-02,"05",40991,"race/ethnicity","White","inc case"
"243",2021-01-09,"05",45954,"race/ethnicity","White","inc case"
"244",2021-01-16,"05",44687,"race/ethnicity","White","inc case"
"245",2021-01-23,"05",28218,"race/ethnicity","White","inc case"
"246",2021-01-30,"05",25089,"race/ethnicity","White","inc case"
"247",2021-02-06,"05",18291,"race/ethnicity","White","inc case"
"248",2021-02-13,"05",13392,"race/ethnicity","White","inc case"
"249",2021-02-20,"05",9885,"race/ethnicity","White","inc case"
"250",2021-02-27,"05",8508,"race/ethnicity","White","inc case"
"251",2021-03-06,"05",7164,"race/ethnicity","White","inc case"
"252",2021-03-13,"05",7268,"race/ethnicity","White","inc case"
"253",2021-03-20,"05",5841,"race/ethnicity","White","inc case"
"254",2021-03-27,"05",5482,"race/ethnicity","White","inc case"
