date,location,value,category,demographic,target
2020-09-26,06,198,race/ethnicity,White,inc death
2020-10-03,06,171,race/ethnicity,White,inc death
2020-10-10,06,162,race/ethnicity,White,inc death
2020-10-17,06,132,race/ethnicity,White,inc death
2020-10-24,06,123,race/ethnicity,White,inc death
2020-10-31,06,114,race/ethnicity,White,inc death
2020-11-07,06,126,race/ethnicity,White,inc death
2020-11-14,06,95,race/ethnicity,White,inc death
2020-11-21,06,127,race/ethnicity,White,inc death
2020-11-28,06,151,race/ethnicity,White,inc death
2020-12-05,06,254,race/ethnicity,White,inc death
2020-12-12,06,402,race/ethnicity,White,inc death
2020-12-19,06,518,race/ethnicity,White,inc death
2020-12-26,06,540,race/ethnicity,White,inc death
2021-01-02,06,729,race/ethnicity,White,inc death
2021-01-09,06,922,race/ethnicity,White,inc death
2021-01-16,06,1123,race/ethnicity,White,inc death
2021-01-23,06,1074,race/ethnicity,White,inc death
2021-01-30,06,1093,race/ethnicity,White,inc death
2021-02-06,06,1062,race/ethnicity,White,inc death
2021-02-13,06,863,race/ethnicity,White,inc death
2021-02-20,06,735,race/ethnicity,White,inc death
2021-02-27,06,934,race/ethnicity,White,inc death
2021-03-06,06,569,race/ethnicity,White,inc death
2021-03-13,06,409,race/ethnicity,White,inc death
2021-03-20,06,299,race/ethnicity,White,inc death
2021-03-27,06,522,race/ethnicity,White,inc death
2021-04-03,06,257,race/ethnicity,White,inc death
2020-03-07,37,0,race/ethnicity,White,inc death
2020-03-14,37,35,race/ethnicity,White,inc death
2020-03-21,37,423,race/ethnicity,White,inc death
2020-03-28,37,567,race/ethnicity,White,inc death
2020-04-04,37,517,race/ethnicity,White,inc death
2020-04-11,37,897,race/ethnicity,White,inc death
2020-04-18,37,751,race/ethnicity,White,inc death
2020-04-25,37,1146,race/ethnicity,White,inc death
2020-05-02,37,1109,race/ethnicity,White,inc death
2020-05-09,37,1471,race/ethnicity,White,inc death
2020-05-16,37,1845,race/ethnicity,White,inc death
2020-05-23,37,2187,race/ethnicity,White,inc death
2020-05-30,37,2343,race/ethnicity,White,inc death
2020-06-06,37,3082,race/ethnicity,White,inc death
2020-06-13,37,3493,race/ethnicity,White,inc death
2020-06-20,37,4225,race/ethnicity,White,inc death
2020-06-27,37,5042,race/ethnicity,White,inc death
2020-07-04,37,5087,race/ethnicity,White,inc death
2020-07-11,37,6050,race/ethnicity,White,inc death
2020-07-18,37,5757,race/ethnicity,White,inc death
2020-07-25,37,5647,race/ethnicity,White,inc death
2020-08-01,37,5320,race/ethnicity,White,inc death
2020-08-08,37,4838,race/ethnicity,White,inc death
2020-08-15,37,4686,race/ethnicity,White,inc death
2020-08-22,37,5775,race/ethnicity,White,inc death
2020-08-29,37,5568,race/ethnicity,White,inc death
2020-09-05,37,5010,race/ethnicity,White,inc death
2020-09-12,37,4537,race/ethnicity,White,inc death
2020-09-19,37,4795,race/ethnicity,White,inc death
2020-09-26,37,4930,race/ethnicity,White,inc death
2020-10-03,37,6754,race/ethnicity,White,inc death
2020-10-10,37,7429,race/ethnicity,White,inc death
2020-10-17,37,7902,race/ethnicity,White,inc death
2020-10-24,37,8238,race/ethnicity,White,inc death
2020-10-31,37,8637,race/ethnicity,White,inc death
2020-11-07,37,9525,race/ethnicity,White,inc death
2020-11-14,37,12490,race/ethnicity,White,inc death
2020-11-21,37,12680,race/ethnicity,White,inc death
2020-11-28,37,11655,race/ethnicity,White,inc death
2020-12-05,37,17651,race/ethnicity,White,inc death
2020-12-12,37,17501,race/ethnicity,White,inc death
2020-12-19,37,19032,race/ethnicity,White,inc death
2020-12-26,37,15809,race/ethnicity,White,inc death
2021-01-02,37,22207,race/ethnicity,White,inc death
2021-01-09,37,23207,race/ethnicity,White,inc death
2021-01-16,37,19067,race/ethnicity,White,inc death
2021-01-23,37,15561,race/ethnicity,White,inc death
2021-01-30,37,12968,race/ethnicity,White,inc death
2021-02-06,37,11281,race/ethnicity,White,inc death
2021-02-13,37,10907,race/ethnicity,White,inc death
2021-02-20,37,8966,race/ethnicity,White,inc death
2021-02-27,37,7177,race/ethnicity,White,inc death
2021-03-06,37,5837,race/ethnicity,White,inc death
2021-03-13,37,5577,race/ethnicity,White,inc death
2021-03-20,37,5631,race/ethnicity,White,inc death
2021-03-27,37,6074,race/ethnicity,White,inc death
2021-04-03,37,5566,race/ethnicity,White,inc death
2020-03-07,37,0,race/ethnicity,Black,inc death
2020-03-14,37,8,race/ethnicity,Black,inc death
2020-03-21,37,173,race/ethnicity,Black,inc death
2020-03-28,37,338,race/ethnicity,Black,inc death
2020-04-04,37,448,race/ethnicity,Black,inc death
2020-04-11,37,592,race/ethnicity,Black,inc death
2020-04-18,37,675,race/ethnicity,Black,inc death
2020-04-25,37,777,race/ethnicity,Black,inc death
2020-05-02,37,559,race/ethnicity,Black,inc death
2020-05-09,37,647,race/ethnicity,Black,inc death
2020-05-16,37,707,race/ethnicity,Black,inc death
2020-05-23,37,832,race/ethnicity,Black,inc death
2020-05-30,37,746,race/ethnicity,Black,inc death
2020-06-06,37,880,race/ethnicity,Black,inc death
2020-06-13,37,974,race/ethnicity,Black,inc death
2020-06-20,37,1091,race/ethnicity,Black,inc death
2020-06-27,37,1565,race/ethnicity,Black,inc death
2020-07-04,37,2005,race/ethnicity,Black,inc death
2020-07-11,37,2394,race/ethnicity,Black,inc death
2020-07-18,37,2616,race/ethnicity,Black,inc death
2020-07-25,37,2379,race/ethnicity,Black,inc death
2020-08-01,37,2054,race/ethnicity,Black,inc death
2020-08-08,37,1762,race/ethnicity,Black,inc death
2020-08-15,37,1701,race/ethnicity,Black,inc death
2020-08-22,37,1686,race/ethnicity,Black,inc death
2020-08-29,37,1796,race/ethnicity,Black,inc death
2020-09-05,37,1468,race/ethnicity,Black,inc death
2020-09-12,37,1341,race/ethnicity,Black,inc death
2020-09-19,37,1609,race/ethnicity,Black,inc death
2020-09-26,37,1622,race/ethnicity,Black,inc death
2020-10-03,37,1810,race/ethnicity,Black,inc death
2020-10-10,37,1824,race/ethnicity,Black,inc death
2020-10-17,37,2307,race/ethnicity,Black,inc death
2020-10-24,37,2707,race/ethnicity,Black,inc death
2020-10-31,37,2447,race/ethnicity,Black,inc death
2020-11-07,37,2819,race/ethnicity,Black,inc death
2020-11-14,37,3736,race/ethnicity,Black,inc death
2020-11-21,37,3864,race/ethnicity,Black,inc death
2020-11-28,37,3533,race/ethnicity,Black,inc death
2020-12-05,37,5124,race/ethnicity,Black,inc death
2020-12-12,37,5008,race/ethnicity,Black,inc death
2020-12-19,37,4841,race/ethnicity,Black,inc death
2020-12-26,37,4566,race/ethnicity,Black,inc death
2021-01-02,37,6077,race/ethnicity,Black,inc death
2021-01-09,37,7189,race/ethnicity,Black,inc death
2021-01-16,37,6141,race/ethnicity,Black,inc death
2021-01-23,37,5147,race/ethnicity,Black,inc death
2021-01-30,37,4460,race/ethnicity,Black,inc death
2021-02-06,37,4370,race/ethnicity,Black,inc death
2021-02-13,37,3542,race/ethnicity,Black,inc death
2021-02-20,37,2771,race/ethnicity,Black,inc death
2021-02-27,37,2361,race/ethnicity,Black,inc death
2021-03-06,37,1994,race/ethnicity,Black,inc death
2021-03-13,37,1808,race/ethnicity,Black,inc death
2021-03-20,37,2054,race/ethnicity,Black,inc death
2021-03-27,37,2408,race/ethnicity,Black,inc death
2021-04-03,37,2533,race/ethnicity,Black,inc death
2020-03-07,37,0,race/ethnicity,Other,inc death
2020-03-14,37,3,race/ethnicity,Other,inc death
2020-03-21,37,26,race/ethnicity,Other,inc death
2020-03-28,37,65,race/ethnicity,Other,inc death
2020-04-04,37,77,race/ethnicity,Other,inc death
2020-04-11,37,154,race/ethnicity,Other,inc death
2020-04-18,37,222,race/ethnicity,Other,inc death
2020-04-25,37,371,race/ethnicity,Other,inc death
2020-05-02,37,428,race/ethnicity,Other,inc death
2020-05-09,37,492,race/ethnicity,Other,inc death
2020-05-16,37,681,race/ethnicity,Other,inc death
2020-05-23,37,900,race/ethnicity,Other,inc death
2020-05-30,37,1162,race/ethnicity,Other,inc death
2020-06-06,37,1624,race/ethnicity,Other,inc death
2020-06-13,37,1679,race/ethnicity,Other,inc death
2020-06-20,37,1577,race/ethnicity,Other,inc death
2020-06-27,37,1672,race/ethnicity,Other,inc death
2020-07-04,37,1715,race/ethnicity,Other,inc death
2020-07-11,37,1883,race/ethnicity,Other,inc death
2020-07-18,37,1964,race/ethnicity,Other,inc death
2020-07-25,37,1872,race/ethnicity,Other,inc death
2020-08-01,37,1587,race/ethnicity,Other,inc death
2020-08-08,37,1259,race/ethnicity,Other,inc death
2020-08-15,37,1187,race/ethnicity,Other,inc death
2020-08-22,37,1402,race/ethnicity,Other,inc death
2020-08-29,37,1618,race/ethnicity,Other,inc death
2020-09-05,37,1278,race/ethnicity,Other,inc death
2020-09-12,37,1020,race/ethnicity,Other,inc death
2020-09-19,37,915,race/ethnicity,Other,inc death
2020-09-26,37,974,race/ethnicity,Other,inc death
2020-10-03,37,1312,race/ethnicity,Other,inc death
2020-10-10,37,1466,race/ethnicity,Other,inc death
2020-10-17,37,1598,race/ethnicity,Other,inc death
2020-10-24,37,1629,race/ethnicity,Other,inc death
2020-10-31,37,1621,race/ethnicity,Other,inc death
2020-11-07,37,1949,race/ethnicity,Other,inc death
2020-11-14,37,2452,race/ethnicity,Other,inc death
2020-11-21,37,2748,race/ethnicity,Other,inc death
2020-11-28,37,2566,race/ethnicity,Other,inc death
2020-12-05,37,4279,race/ethnicity,Other,inc death
2020-12-12,37,4803,race/ethnicity,Other,inc death
2020-12-19,37,5206,race/ethnicity,Other,inc death
2020-12-26,37,4106,race/ethnicity,Other,inc death
2021-01-02,37,6946,race/ethnicity,Other,inc death
2021-01-09,37,7039,race/ethnicity,Other,inc death
2021-01-16,37,6595,race/ethnicity,Other,inc death
2021-01-23,37,5540,race/ethnicity,Other,inc death
2021-01-30,37,4632,race/ethnicity,Other,inc death
2021-02-06,37,3546,race/ethnicity,Other,inc death
2021-02-13,37,2725,race/ethnicity,Other,inc death
2021-02-20,37,2087,race/ethnicity,Other,inc death
2021-02-27,37,1711,race/ethnicity,Other,inc death
2021-03-06,37,1540,race/ethnicity,Other,inc death
2021-03-13,37,1283,race/ethnicity,Other,inc death
2021-03-20,37,1373,race/ethnicity,Other,inc death
2021-03-27,37,1639,race/ethnicity,Other,inc death
2021-04-03,37,1413,race/ethnicity,Other,inc death
2020-03-07,37,0,race/ethnicity,Asian,inc death
2020-03-14,37,2,race/ethnicity,Asian,inc death
2020-03-21,37,20,race/ethnicity,Asian,inc death
2020-03-28,37,20,race/ethnicity,Asian,inc death
2020-04-04,37,27,race/ethnicity,Asian,inc death
2020-04-11,37,29,race/ethnicity,Asian,inc death
2020-04-18,37,14,race/ethnicity,Asian,inc death
2020-04-25,37,67,race/ethnicity,Asian,inc death
2020-05-02,37,106,race/ethnicity,Asian,inc death
2020-05-09,37,99,race/ethnicity,Asian,inc death
2020-05-16,37,157,race/ethnicity,Asian,inc death
2020-05-23,37,169,race/ethnicity,Asian,inc death
2020-05-30,37,120,race/ethnicity,Asian,inc death
2020-06-06,37,126,race/ethnicity,Asian,inc death
2020-06-13,37,141,race/ethnicity,Asian,inc death
2020-06-20,37,114,race/ethnicity,Asian,inc death
2020-06-27,37,146,race/ethnicity,Asian,inc death
2020-07-04,37,108,race/ethnicity,Asian,inc death
2020-07-11,37,145,race/ethnicity,Asian,inc death
2020-07-18,37,149,race/ethnicity,Asian,inc death
2020-07-25,37,135,race/ethnicity,Asian,inc death
2020-08-01,37,151,race/ethnicity,Asian,inc death
2020-08-08,37,171,race/ethnicity,Asian,inc death
2020-08-15,37,168,race/ethnicity,Asian,inc death
2020-08-22,37,249,race/ethnicity,Asian,inc death
2020-08-29,37,230,race/ethnicity,Asian,inc death
2020-09-05,37,203,race/ethnicity,Asian,inc death
2020-09-12,37,156,race/ethnicity,Asian,inc death
2020-09-19,37,192,race/ethnicity,Asian,inc death
2020-09-26,37,164,race/ethnicity,Asian,inc death
2020-10-03,37,161,race/ethnicity,Asian,inc death
2020-10-10,37,168,race/ethnicity,Asian,inc death
2020-10-17,37,179,race/ethnicity,Asian,inc death
2020-10-24,37,248,race/ethnicity,Asian,inc death
2020-10-31,37,244,race/ethnicity,Asian,inc death
2020-11-07,37,248,race/ethnicity,Asian,inc death
2020-11-14,37,330,race/ethnicity,Asian,inc death
2020-11-21,37,327,race/ethnicity,Asian,inc death
2020-11-28,37,348,race/ethnicity,Asian,inc death
2020-12-05,37,592,race/ethnicity,Asian,inc death
2020-12-12,37,549,race/ethnicity,Asian,inc death
2020-12-19,37,555,race/ethnicity,Asian,inc death
2020-12-26,37,501,race/ethnicity,Asian,inc death
2021-01-02,37,776,race/ethnicity,Asian,inc death
2021-01-09,37,1081,race/ethnicity,Asian,inc death
2021-01-16,37,717,race/ethnicity,Asian,inc death
2021-01-23,37,569,race/ethnicity,Asian,inc death
2021-01-30,37,547,race/ethnicity,Asian,inc death
2021-02-06,37,434,race/ethnicity,Asian,inc death
2021-02-13,37,334,race/ethnicity,Asian,inc death
2021-02-20,37,261,race/ethnicity,Asian,inc death
2021-02-27,37,241,race/ethnicity,Asian,inc death
2021-03-06,37,217,race/ethnicity,Asian,inc death
2021-03-13,37,242,race/ethnicity,Asian,inc death
2021-03-20,37,256,race/ethnicity,Asian,inc death
2021-03-27,37,226,race/ethnicity,Asian,inc death
2021-04-03,37,203,race/ethnicity,Asian,inc death
2020-03-07,37,0,race/ethnicity,White,inc case
2020-03-14,37,35,race/ethnicity,White,inc case
2020-03-21,37,423,race/ethnicity,White,inc case
2020-03-28,37,567,race/ethnicity,White,inc case
2020-04-04,37,517,race/ethnicity,White,inc case
2020-04-11,37,897,race/ethnicity,White,inc case
2020-04-18,37,751,race/ethnicity,White,inc case
2020-04-25,37,1146,race/ethnicity,White,inc case
2020-05-02,37,1109,race/ethnicity,White,inc case
2020-05-09,37,1471,race/ethnicity,White,inc case
2020-05-16,37,1845,race/ethnicity,White,inc case
2020-05-23,37,2187,race/ethnicity,White,inc case
2020-05-30,37,2343,race/ethnicity,White,inc case
2020-06-06,37,3082,race/ethnicity,White,inc case
2020-06-13,37,3493,race/ethnicity,White,inc case
2020-06-20,37,4225,race/ethnicity,White,inc case
2020-06-27,37,5042,race/ethnicity,White,inc case
2020-07-04,37,5087,race/ethnicity,White,inc case
2020-07-11,37,6050,race/ethnicity,White,inc case
2020-07-18,37,5757,race/ethnicity,White,inc case
2020-07-25,37,5647,race/ethnicity,White,inc case
2020-08-01,37,5320,race/ethnicity,White,inc case
2020-08-08,37,4838,race/ethnicity,White,inc case
2020-08-15,37,4686,race/ethnicity,White,inc case
2020-08-22,37,5775,race/ethnicity,White,inc case
2020-08-29,37,5568,race/ethnicity,White,inc case
2020-09-05,37,5010,race/ethnicity,White,inc case
2020-09-12,37,4537,race/ethnicity,White,inc case
2020-09-19,37,4795,race/ethnicity,White,inc case
2020-09-26,37,4930,race/ethnicity,White,inc case
2020-10-03,37,6754,race/ethnicity,White,inc case
2020-10-10,37,7429,race/ethnicity,White,inc case
2020-10-17,37,7902,race/ethnicity,White,inc case
2020-10-24,37,8238,race/ethnicity,White,inc case
2020-10-31,37,8637,race/ethnicity,White,inc case
2020-11-07,37,9525,race/ethnicity,White,inc case
2020-11-14,37,12490,race/ethnicity,White,inc case
2020-11-21,37,12680,race/ethnicity,White,inc case
2020-11-28,37,11655,race/ethnicity,White,inc case
2020-12-05,37,17651,race/ethnicity,White,inc case
2020-12-12,37,17501,race/ethnicity,White,inc case
2020-12-19,37,19032,race/ethnicity,White,inc case
2020-12-26,37,15809,race/ethnicity,White,inc case
2021-01-02,37,22207,race/ethnicity,White,inc case
2021-01-09,37,23207,race/ethnicity,White,inc case
2021-01-16,37,19067,race/ethnicity,White,inc case
2021-01-23,37,15561,race/ethnicity,White,inc case
2021-01-30,37,12968,race/ethnicity,White,inc case
2021-02-06,37,11281,race/ethnicity,White,inc case
2021-02-13,37,10907,race/ethnicity,White,inc case
2021-02-20,37,8966,race/ethnicity,White,inc case
2021-02-27,37,7177,race/ethnicity,White,inc case
2021-03-06,37,5837,race/ethnicity,White,inc case
2021-03-13,37,5577,race/ethnicity,White,inc case
2021-03-20,37,5631,race/ethnicity,White,inc case
2021-03-27,37,6074,race/ethnicity,White,inc case
2021-04-03,37,5566,race/ethnicity,White,inc case
2020-03-07,37,0,race/ethnicity,Black,inc case
2020-03-14,37,8,race/ethnicity,Black,inc case
2020-03-21,37,173,race/ethnicity,Black,inc case
2020-03-28,37,338,race/ethnicity,Black,inc case
2020-04-04,37,448,race/ethnicity,Black,inc case
2020-04-11,37,592,race/ethnicity,Black,inc case
2020-04-18,37,675,race/ethnicity,Black,inc case
2020-04-25,37,777,race/ethnicity,Black,inc case
2020-05-02,37,559,race/ethnicity,Black,inc case
2020-05-09,37,647,race/ethnicity,Black,inc case
2020-05-16,37,707,race/ethnicity,Black,inc case
2020-05-23,37,832,race/ethnicity,Black,inc case
2020-05-30,37,746,race/ethnicity,Black,inc case
2020-06-06,37,880,race/ethnicity,Black,inc case
2020-06-13,37,974,race/ethnicity,Black,inc case
2020-06-20,37,1091,race/ethnicity,Black,inc case
2020-06-27,37,1565,race/ethnicity,Black,inc case
2020-07-04,37,2005,race/ethnicity,Black,inc case
2020-07-11,37,2394,race/ethnicity,Black,inc case
2020-07-18,37,2616,race/ethnicity,Black,inc case
2020-07-25,37,2379,race/ethnicity,Black,inc case
2020-08-01,37,2054,race/ethnicity,Black,inc case
2020-08-08,37,1762,race/ethnicity,Black,inc case
2020-08-15,37,1701,race/ethnicity,Black,inc case
2020-08-22,37,1686,race/ethnicity,Black,inc case
2020-08-29,37,1796,race/ethnicity,Black,inc case
2020-09-05,37,1468,race/ethnicity,Black,inc case
2020-09-12,37,1341,race/ethnicity,Black,inc case
2020-09-19,37,1609,race/ethnicity,Black,inc case
2020-09-26,37,1622,race/ethnicity,Black,inc case
2020-10-03,37,1810,race/ethnicity,Black,inc case
2020-10-10,37,1824,race/ethnicity,Black,inc case
2020-10-17,37,2307,race/ethnicity,Black,inc case
2020-10-24,37,2707,race/ethnicity,Black,inc case
2020-10-31,37,2447,race/ethnicity,Black,inc case
2020-11-07,37,2819,race/ethnicity,Black,inc case
2020-11-14,37,3736,race/ethnicity,Black,inc case
2020-11-21,37,3864,race/ethnicity,Black,inc case
2020-11-28,37,3533,race/ethnicity,Black,inc case
2020-12-05,37,5124,race/ethnicity,Black,inc case
2020-12-12,37,5008,race/ethnicity,Black,inc case
2020-12-19,37,4841,race/ethnicity,Black,inc case
2020-12-26,37,4566,race/ethnicity,Black,inc case
2021-01-02,37,6077,race/ethnicity,Black,inc case
2021-01-09,37,7189,race/ethnicity,Black,inc case
2021-01-16,37,6141,race/ethnicity,Black,inc case
2021-01-23,37,5147,race/ethnicity,Black,inc case
2021-01-30,37,4460,race/ethnicity,Black,inc case
2021-02-06,37,4370,race/ethnicity,Black,inc case
2021-02-13,37,3542,race/ethnicity,Black,inc case
2021-02-20,37,2771,race/ethnicity,Black,inc case
2021-02-27,37,2361,race/ethnicity,Black,inc case
2021-03-06,37,1994,race/ethnicity,Black,inc case
2021-03-13,37,1808,race/ethnicity,Black,inc case
2021-03-20,37,2054,race/ethnicity,Black,inc case
2021-03-27,37,2408,race/ethnicity,Black,inc case
2021-04-03,37,2533,race/ethnicity,Black,inc case
2020-03-07,37,0,race/ethnicity,Other,inc case
2020-03-14,37,3,race/ethnicity,Other,inc case
2020-03-21,37,26,race/ethnicity,Other,inc case
2020-03-28,37,65,race/ethnicity,Other,inc case
2020-04-04,37,77,race/ethnicity,Other,inc case
2020-04-11,37,154,race/ethnicity,Other,inc case
2020-04-18,37,222,race/ethnicity,Other,inc case
2020-04-25,37,371,race/ethnicity,Other,inc case
2020-05-02,37,428,race/ethnicity,Other,inc case
2020-05-09,37,492,race/ethnicity,Other,inc case
2020-05-16,37,681,race/ethnicity,Other,inc case
2020-05-23,37,900,race/ethnicity,Other,inc case
2020-05-30,37,1162,race/ethnicity,Other,inc case
2020-06-06,37,1624,race/ethnicity,Other,inc case
2020-06-13,37,1679,race/ethnicity,Other,inc case
2020-06-20,37,1577,race/ethnicity,Other,inc case
2020-06-27,37,1672,race/ethnicity,Other,inc case
2020-07-04,37,1715,race/ethnicity,Other,inc case
2020-07-11,37,1883,race/ethnicity,Other,inc case
2020-07-18,37,1964,race/ethnicity,Other,inc case
2020-07-25,37,1872,race/ethnicity,Other,inc case
2020-08-01,37,1587,race/ethnicity,Other,inc case
2020-08-08,37,1259,race/ethnicity,Other,inc case
2020-08-15,37,1187,race/ethnicity,Other,inc case
2020-08-22,37,1402,race/ethnicity,Other,inc case
2020-08-29,37,1618,race/ethnicity,Other,inc case
2020-09-05,37,1278,race/ethnicity,Other,inc case
2020-09-12,37,1020,race/ethnicity,Other,inc case
2020-09-19,37,915,race/ethnicity,Other,inc case
2020-09-26,37,974,race/ethnicity,Other,inc case
2020-10-03,37,1312,race/ethnicity,Other,inc case
2020-10-10,37,1466,race/ethnicity,Other,inc case
2020-10-17,37,1598,race/ethnicity,Other,inc case
2020-10-24,37,1629,race/ethnicity,Other,inc case
2020-10-31,37,1621,race/ethnicity,Other,inc case
2020-11-07,37,1949,race/ethnicity,Other,inc case
2020-11-14,37,2452,race/ethnicity,Other,inc case
2020-11-21,37,2748,race/ethnicity,Other,inc case
2020-11-28,37,2566,race/ethnicity,Other,inc case
2020-12-05,37,4279,race/ethnicity,Other,inc case
2020-12-12,37,4803,race/ethnicity,Other,inc case
2020-12-19,37,5206,race/ethnicity,Other,inc case
2020-12-26,37,4106,race/ethnicity,Other,inc case
2021-01-02,37,6946,race/ethnicity,Other,inc case
2021-01-09,37,7039,race/ethnicity,Other,inc case
2021-01-16,37,6595,race/ethnicity,Other,inc case
2021-01-23,37,5540,race/ethnicity,Other,inc case
2021-01-30,37,4632,race/ethnicity,Other,inc case
2021-02-06,37,3546,race/ethnicity,Other,inc case
2021-02-13,37,2725,race/ethnicity,Other,inc case
2021-02-20,37,2087,race/ethnicity,Other,inc case
2021-02-27,37,1711,race/ethnicity,Other,inc case
2021-03-06,37,1540,race/ethnicity,Other,inc case
2021-03-13,37,1283,race/ethnicity,Other,inc case
2021-03-20,37,1373,race/ethnicity,Other,inc case
2021-03-27,37,1639,race/ethnicity,Other,inc case
2021-04-03,37,1413,race/ethnicity,Other,inc case
2020-03-07,37,0,race/ethnicity,Asian,inc case
2020-03-14,37,2,race/ethnicity,Asian,inc case
2020-03-21,37,20,race/ethnicity,Asian,inc case
2020-03-28,37,20,race/ethnicity,Asian,inc case
2020-04-04,37,27,race/ethnicity,Asian,inc case
2020-04-11,37,29,race/ethnicity,Asian,inc case
2020-04-18,37,14,race/ethnicity,Asian,inc case
2020-04-25,37,67,race/ethnicity,Asian,inc case
2020-05-02,37,106,race/ethnicity,Asian,inc case
2020-05-09,37,99,race/ethnicity,Asian,inc case
2020-05-16,37,157,race/ethnicity,Asian,inc case
2020-05-23,37,169,race/ethnicity,Asian,inc case
2020-05-30,37,120,race/ethnicity,Asian,inc case
2020-06-06,37,126,race/ethnicity,Asian,inc case
2020-06-13,37,141,race/ethnicity,Asian,inc case
2020-06-20,37,114,race/ethnicity,Asian,inc case
2020-06-27,37,146,race/ethnicity,Asian,inc case
2020-07-04,37,108,race/ethnicity,Asian,inc case
2020-07-11,37,145,race/ethnicity,Asian,inc case
2020-07-18,37,149,race/ethnicity,Asian,inc case
2020-07-25,37,135,race/ethnicity,Asian,inc case
2020-08-01,37,151,race/ethnicity,Asian,inc case
2020-08-08,37,171,race/ethnicity,Asian,inc case
2020-08-15,37,168,race/ethnicity,Asian,inc case
2020-08-22,37,249,race/ethnicity,Asian,inc case
2020-08-29,37,230,race/ethnicity,Asian,inc case
2020-09-05,37,203,race/ethnicity,Asian,inc case
2020-09-12,37,156,race/ethnicity,Asian,inc case
2020-09-19,37,192,race/ethnicity,Asian,inc case
2020-09-26,37,164,race/ethnicity,Asian,inc case
2020-10-03,37,161,race/ethnicity,Asian,inc case
2020-10-10,37,168,race/ethnicity,Asian,inc case
2020-10-17,37,179,race/ethnicity,Asian,inc case
2020-10-24,37,248,race/ethnicity,Asian,inc case
2020-10-31,37,244,race/ethnicity,Asian,inc case
2020-11-07,37,248,race/ethnicity,Asian,inc case
2020-11-14,37,330,race/ethnicity,Asian,inc case
2020-11-21,37,327,race/ethnicity,Asian,inc case
2020-11-28,37,348,race/ethnicity,Asian,inc case
2020-12-05,37,592,race/ethnicity,Asian,inc case
2020-12-12,37,549,race/ethnicity,Asian,inc case
2020-12-19,37,555,race/ethnicity,Asian,inc case
2020-12-26,37,501,race/ethnicity,Asian,inc case
2021-01-02,37,776,race/ethnicity,Asian,inc case
2021-01-09,37,1081,race/ethnicity,Asian,inc case
2021-01-16,37,717,race/ethnicity,Asian,inc case
2021-01-23,37,569,race/ethnicity,Asian,inc case
2021-01-30,37,547,race/ethnicity,Asian,inc case
2021-02-06,37,434,race/ethnicity,Asian,inc case
2021-02-13,37,334,race/ethnicity,Asian,inc case
2021-02-20,37,261,race/ethnicity,Asian,inc case
2021-02-27,37,241,race/ethnicity,Asian,inc case
2021-03-06,37,217,race/ethnicity,Asian,inc case
2021-03-13,37,242,race/ethnicity,Asian,inc case
2021-03-20,37,256,race/ethnicity,Asian,inc case
2021-03-27,37,226,race/ethnicity,Asian,inc case
2021-04-03,37,203,race/ethnicity,Asian,inc case
